Day,[TACC STAMPEDE] Number of Jobs Ended,[PURDUE STEELE] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[GATECH KIDS] Number of Jobs Ended
2013-06-01,0,3114,117,3285,769,613,618,126,76,21,32,0,0
2013-06-02,382,2654,52,4353,414,921,404,41,32,19,19,0,0
2013-06-03,3623,2784,66,4549,1092,1725,684,78,405,22,20,0,0
2013-06-04,5738,1829,5157,4865,1488,1043,622,162,252,18,48,0,0
2013-06-05,5322,2555,23382,4611,1844,2221,784,82,528,27,45,0,0
2013-06-06,6058,3855,9562,4597,1185,1377,798,134,298,31,51,0,0
2013-06-07,4605,1605,8157,3029,2703,2483,919,79,353,254,58,0,0
2013-06-08,4661,2850,194,1384,5913,658,730,68,353,249,22,0,0
2013-06-09,3719,3453,84,1659,6048,314,1012,46,159,159,105,0,0
2013-06-10,4892,3286,345,3915,3730,860,811,237,1,251,32,0,0
2013-06-11,5192,1613,151,3243,1599,1140,232,127,0,202,29,0,0
2013-06-12,5134,6474,9591,4980,2287,945,466,172,0,84,83,0,0
2013-06-13,6949,2887,201,1772,3642,777,477,79,288,7,43,0,0
2013-06-14,10469,1451,62,4472,3098,1425,566,92,378,2,37,0,0
2013-06-15,8634,2206,360,2532,3081,1148,287,90,488,1,20,0,0
2013-06-16,6706,3126,2020,2191,1636,824,206,87,365,1,15,0,0
2013-06-17,4119,1697,8792,1859,1093,827,705,389,189,9,20,0,0
2013-06-18,4155,3229,4526,4210,1615,1058,1129,333,187,26,44,0,0
2013-06-19,5784,3448,1960,4513,1504,1283,1371,278,298,61,73,0,0
2013-06-20,4742,4499,2260,2948,1704,1603,988,118,829,18,34,0,0
2013-06-21,3348,3425,3305,4482,1465,534,644,88,238,23,45,0,0
2013-06-22,4874,1529,1939,2790,1315,536,471,88,117,27,2,0,0
2013-06-23,4622,1571,204,2604,2661,952,587,73,92,11,5,0,0
2013-06-24,4518,2645,369,4013,1927,683,1276,138,130,26,54,0,0
2013-06-25,325,1930,86,4966,2202,950,973,147,215,22,50,0,170
2013-06-26,3955,995,1924,7225,1134,1280,1341,164,403,0,22,0,0
2013-06-27,6806,1586,82,2243,1291,1808,824,119,341,4,31,0,0
2013-06-28,4517,1257,491,6420,1678,1663,483,314,323,17,39,0,4
2013-06-29,6605,1732,234,3430,1538,325,51,18,202,47,12,0,0
2013-06-30,7670,1919,150,2722,2753,577,407,1,119,65,12,0,0
2013-07-01,6656,2088,188,5865,1704,786,492,366,122,20,42,0,2
2013-07-02,3830,2545,1362,5893,813,904,518,220,80,18,47,0,5
2013-07-03,3326,1327,663,5462,1227,1039,690,594,47,29,40,0,34
2013-07-04,2881,3388,1260,3953,1149,692,772,66,95,13,18,0,24
2013-07-05,4058,2820,340,4387,2082,636,604,179,107,303,48,0,25
2013-07-06,4464,2814,2462,2274,1056,359,1089,314,28,13,42,0,26
2013-07-07,4501,2897,100,2458,468,224,1367,158,64,13,15,0,21
2013-07-08,4882,2319,781,3581,1183,440,816,110,136,66,49,0,27
2013-07-09,3951,2644,109,2736,994,689,440,58,56,55,32,0,112
2013-07-10,3424,2620,718,2678,642,753,344,0,131,89,24,0,30
2013-07-11,2849,3471,1085,3524,430,1014,472,230,100,18,35,0,44
2013-07-12,3466,3460,625,4606,384,939,370,102,98,3,29,0,61
2013-07-13,4281,1735,2388,3562,759,284,362,86,102,4,23,0,30
2013-07-14,3401,2051,1939,3439,578,394,544,85,70,1,22,0,0
2013-07-15,4734,1899,2391,3822,847,1308,356,164,33,41,28,0,19
2013-07-16,5725,893,730,2842,736,1450,327,176,34,13,54,0,16
2013-07-17,8710,1366,161,3220,649,1901,388,170,137,48,48,0,28
2013-07-18,6547,2242,198,3063,696,901,457,55,614,36,38,0,18
2013-07-19,7642,4198,36,3015,625,807,465,59,371,17,34,0,2
2013-07-20,7630,7373,3371,1491,401,810,567,24,38,2,23,0,11
2013-07-21,7074,1546,7109,2721,597,1000,472,65,114,10,22,0,27
2013-07-22,8179,4459,4092,2677,636,1715,497,161,181,2,65,0,17
2013-07-23,1220,1678,30,1592,347,671,440,92,26,28,97,0,4
2013-07-24,3424,1313,24,2233,827,552,538,125,16,51,19,0,8
2013-07-25,6829,2624,24,1198,942,1069,459,196,27,24,44,0,27
2013-07-26,8405,2974,8,1485,601,893,383,303,97,24,59,0,48
2013-07-27,6812,4844,20,2331,1038,771,277,112,151,22,21,0,25
2013-07-28,6142,4590,36,2466,831,376,437,113,124,20,17,0,23
2013-07-29,14921,5397,24,2646,1318,726,504,148,136,20,27,0,10
2013-07-30,7753,3346,29,2513,1451,3276,408,202,17,21,5,0,0
2013-07-31,27983,4961,77,2991,1714,1584,316,205,31,27,17,0,0
