title
"Number of Jobs Ended: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[OSG] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[GATECH KEENELAND] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[GATECH KIDS] Number of Jobs Ended"
2014-12-01,0,7340,808,829,153,909,115,84,175,6,1,0
2014-12-02,0,4825,709,2046,192,271,91,94,81,6,3,0
2014-12-03,0,4245,1186,4111,64,132,56,66,65,7,0,0
2014-12-04,0,2463,724,843,145,431,172,73,79,79,3,0
2014-12-05,0,2263,772,2646,259,381,206,180,62,15,1,0
2014-12-06,0,2332,603,3242,45,346,162,15,73,6,5,0
2014-12-07,0,2774,1536,3044,126,1023,106,133,47,6,1,0
2014-12-08,0,3754,1037,2010,108,602,191,99,324,8,2,0
2014-12-09,0,4549,1322,3116,189,315,164,227,120,11,1,0
2014-12-10,0,3861,1872,3834,90,284,76,127,343,9,4,0
2014-12-11,0,3996,2036,3419,204,147,92,243,207,13,6,0
2014-12-12,0,3105,1831,747,342,146,128,103,566,21,9,0
2014-12-13,0,2929,1888,389,78,376,81,127,243,20,4,0
2014-12-14,0,5447,3976,329,98,343,38,142,93,14,1,0
2014-12-15,0,3437,5141,2322,102,726,133,120,96,51,1,0
2014-12-16,0,2609,1693,3425,47,1040,133,105,207,39,5,0
2014-12-17,0,2661,3671,1286,237,506,118,181,103,27,4,0
2014-12-18,0,2925,5074,842,8,272,157,161,159,33,1,0
2014-12-19,0,2698,3298,1647,22,365,86,147,461,20,2,0
2014-12-20,0,2145,5367,2100,15,546,59,64,339,17,1,0
2014-12-21,0,3146,3181,1249,93,508,63,34,278,14,1,0
2014-12-22,0,3019,4164,4472,43,830,50,79,82,16,1,0
2014-12-23,0,3010,2969,2618,24,777,43,89,243,12,2,0
2014-12-24,0,2482,2766,1498,13,414,45,73,109,11,6,0
2014-12-25,0,1772,2854,785,17,308,21,122,99,10,4,0
2014-12-26,0,1283,4225,275,14,284,38,154,55,9,9,0
2014-12-27,0,2040,2778,395,27,333,24,141,40,11,11,0
2014-12-28,0,3268,3184,319,11,264,13,35,31,11,6,0
2014-12-29,0,2207,1077,701,13,360,71,38,53,13,8,0
2014-12-30,0,2413,1317,253,55,242,78,72,15,13,5,0
2014-12-31,0,4104,362,108,23,56,75,73,2,13,4,0
2015-01-01,0,2525,170,148,11,0,58,123,3,14,4,0
2015-01-02,0,3238,964,515,4,0,59,263,1,9,4,0
2015-01-03,0,2988,3478,750,1,0,67,40,0,13,20,0
2015-01-04,0,110,7096,272,3,0,4,52,0,18,12,0
2015-01-05,0,2,1985,2343,17,0,0,82,0,14,2,0
2015-01-06,0,3691,1786,640,16,0,74,67,0,10,1,0
2015-01-07,0,4167,7448,889,3,0,98,111,0,28,0,0
2015-01-08,0,3885,6441,1400,48,0,72,61,0,16,7,0
2015-01-09,0,3960,2004,348,25,0,64,53,0,7,15,0
2015-01-10,0,2950,1772,285,16,0,20,24,0,12,3,0
2015-01-11,0,3425,5754,269,15,0,17,79,0,12,2,0
2015-01-12,0,4556,2055,663,100,0,94,74,0,10,3,0
2015-01-13,0,1006,1482,1107,86,0,7,76,0,12,2,0
2015-01-14,0,3369,1662,892,66,0,78,132,0,24,3,0
2015-01-15,0,3419,3877,662,115,0,101,135,0,8,15,0
2015-01-16,0,4284,3747,753,67,0,87,171,0,25,4,0
2015-01-17,194,3020,2691,1218,60,0,29,55,0,29,1,0
2015-01-18,60660,3679,5471,579,36,0,29,67,0,21,2,0
2015-01-19,57485,3958,3778,555,15,0,105,103,0,27,2,0
2015-01-20,88096,4329,2358,1090,279,0,43,95,1,25,1,0
2015-01-21,93232,4607,4452,2779,199,0,24,52,1,62,1,0
2015-01-22,50856,4231,2982,897,111,0,42,106,1,37,6,0
2015-01-23,50727,4597,2009,1189,167,0,49,79,2,55,8,0
2015-01-24,69905,3396,4404,610,65,0,17,52,0,80,2,0
2015-01-25,79286,3806,1333,422,25,0,137,55,0,111,1,0
2015-01-26,94622,5871,2475,443,292,0,178,145,0,105,1,0
2015-01-27,51211,3933,3819,701,309,0,127,103,0,111,1,0
2015-01-28,36787,3264,3462,839,104,0,59,98,1,141,0,0
2015-01-29,64276,3701,4135,956,319,0,69,133,3,92,4,0
2015-01-30,97778,3967,1307,1191,150,0,57,213,1,82,4,0
2015-01-31,125415,3631,4915,481,97,0,14,69,0,92,1,0
---------
