Day,[PURDUE STEELE] Number of Jobs Ended,[NCSA ABE] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[NICS ATHENA] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[TACC LONESTAR] Number of Jobs Ended,[PSC POPLE] Number of Jobs Ended,[NCSA EMBER*] Number of Jobs Ended,[NCSA COBALT] Number of Jobs Ended,[IU BIGRED*] Number of Jobs Ended,[NCAR FROST] Number of Jobs Ended,[NCSA LINCOLN] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[ORNL NSTG] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended
2010-09-04,1324,1426,620,1352,936,725,135,172,88,0,149,51,7,25,0,54,0,0,0,0,0
2010-09-05,3486,949,140,679,743,822,206,180,24,0,62,61,9,20,1,52,0,0,0,0,0
2010-09-06,955,757,340,1340,977,902,168,195,17,0,154,53,13,17,15,53,0,0,0,0,0
2010-09-07,576,1427,400,2306,1133,83,122,448,93,0,238,97,12,28,16,56,0,0,0,0,3
2010-09-08,755,620,83,517,1199,752,196,556,95,0,243,58,15,9,8,53,10,0,0,0,3
2010-09-09,2282,864,20,1436,992,121,162,399,99,0,231,120,21,39,7,56,19,0,0,0,5
2010-09-10,683,1574,6,1111,847,195,198,454,106,0,174,177,22,33,2,58,17,0,0,0,3
2010-09-11,687,1546,0,525,932,118,139,2072,65,0,95,160,26,10,5,52,2,0,0,0,3
2010-09-12,832,1849,0,801,967,46,183,2616,63,0,102,133,22,8,7,54,2,0,0,0,1
2010-09-13,1051,705,203,1993,1206,97,209,1649,114,0,193,82,24,12,45,55,3,0,0,0,3
2010-09-14,1338,902,1171,8421,1331,189,144,1950,77,0,182,180,28,18,16,52,2,0,0,0,14
2010-09-15,1012,1297,1204,201,1270,760,100,1683,100,0,196,80,29,35,19,53,8,0,0,0,10
2010-09-16,1515,1155,348,791,2396,178,538,303,119,0,60,52,28,10,12,54,4,0,0,0,5
2010-09-17,4998,175,1720,561,1277,164,658,867,44,0,11,69,18,1,7,57,0,0,0,0,2
2010-09-18,7216,400,882,5117,1069,115,72,1948,50,0,25,53,10,26,5,54,0,0,0,0,0
2010-09-19,10157,363,251,1852,1206,61,80,1416,54,0,9,49,10,22,9,51,0,0,0,0,2
2010-09-20,12098,384,507,2030,1269,131,132,874,99,0,89,53,25,26,11,23,0,0,0,0,5
2010-09-21,1413,1036,963,6139,1258,168,117,2387,93,0,210,22,44,44,50,7,0,0,0,0,3
2010-09-22,1081,1026,532,258,984,262,136,2359,68,0,325,57,19,64,10,12,0,0,0,0,15
2010-09-23,1157,1173,409,704,1102,183,101,2111,73,0,373,28,22,50,8,20,0,0,0,0,9
2010-09-24,906,618,74,1961,1266,205,81,2299,73,0,176,35,27,97,4,16,0,0,0,0,9
2010-09-25,5471,431,828,933,1058,160,100,1750,20,0,192,21,12,45,0,16,0,0,0,0,0
2010-09-26,810,1480,79,881,1120,96,101,1868,24,0,78,32,27,77,0,11,0,0,0,0,3
2010-09-27,1639,1399,117,1487,1071,137,99,1982,58,0,216,26,28,45,8,15,0,0,0,0,13
2010-09-28,2156,389,198,1052,221,271,228,1243,41,0,262,23,40,53,0,13,0,0,0,0,0
2010-09-29,1851,1517,68,144,1512,150,96,1645,83,0,255,38,26,38,8,13,2,0,0,0,3
2010-09-30,2325,1003,27,501,1369,165,130,1662,103,0,212,23,19,47,12,14,0,0,0,0,7
2010-10-01,2159,918,8,1025,1194,175,110,127,42,0,146,28,12,31,11,13,1,0,0,0,7
2010-10-02,2252,2452,15,760,1014,94,121,90,26,0,274,19,25,16,11,18,0,0,0,0,1
2010-10-03,2147,4022,8,765,1124,118,124,95,69,0,188,18,10,8,7,12,0,0,0,0,3
2010-10-04,2805,2133,825,1116,946,417,41,112,265,0,109,28,37,37,45,15,6,0,0,0,2
2010-10-05,3131,1766,791,1454,858,470,53,164,108,6,87,29,26,57,21,14,11,0,0,0,9
2010-10-06,1692,4977,214,254,798,108,95,107,37,18,191,14,35,59,29,16,7,0,0,0,4
2010-10-07,1292,6235,56,112,829,201,129,152,69,7,130,20,49,30,45,12,9,0,0,0,24
2010-10-08,2294,6619,396,804,611,93,164,222,74,9,148,20,7,61,25,29,1,0,0,0,6
2010-10-09,3961,8835,75,1149,532,74,178,228,2,10,85,49,2,12,16,51,7,0,0,0,4
2010-10-10,1686,12490,48,1515,699,91,116,187,1,38,92,51,7,1,15,50,3,1,0,0,4
2010-10-11,386,7771,128,2429,759,115,156,102,67,13,198,47,14,20,45,50,4,0,0,0,4
2010-10-12,119,11387,863,6736,329,128,123,312,38,18,237,69,34,36,206,55,3,0,0,0,1
2010-10-13,2882,7102,793,3419,653,118,176,165,0,20,145,94,12,33,125,51,13,5,0,0,7
2010-10-14,2570,7245,1906,1710,810,1892,143,104,2,10,165,50,20,43,49,53,43,0,0,0,23
2010-10-15,1521,3423,1467,1574,656,285,134,154,53,38,140,69,14,61,17,53,8,0,0,0,7
2010-10-16,870,1623,435,813,1060,204,139,218,64,11,108,25,7,34,22,53,28,0,0,0,4
2010-10-17,1019,5101,3895,1431,1033,80,133,235,91,1,88,82,12,20,10,58,5,0,0,0,0
2010-10-18,1209,5441,2407,1126,985,184,141,442,143,30,120,95,1,62,31,45,6,11,0,0,3
2010-10-19,1560,2605,1516,1186,788,96,149,380,70,44,133,52,36,34,11,8,1,3,0,0,0
2010-10-20,1462,5878,1537,733,846,141,155,427,102,33,240,34,78,34,144,56,9,6,0,0,4
2010-10-21,1578,2143,4658,845,791,160,122,465,77,83,408,81,30,32,146,50,9,7,0,0,2
2010-10-22,1534,6494,762,1025,926,249,220,465,160,17,230,59,32,38,51,51,20,2,0,0,1
2010-10-23,607,6462,498,807,735,389,141,443,55,56,82,88,22,22,17,48,9,0,0,0,1
2010-10-24,1377,9155,699,805,821,376,122,308,62,49,122,49,14,5,35,54,17,0,0,0,2
2010-10-25,1540,4120,912,1978,1041,112,231,557,110,60,147,109,13,40,56,51,8,3,0,0,2
2010-10-26,810,9893,1052,965,684,752,187,186,54,78,255,58,21,25,66,51,13,0,0,0,2
2010-10-27,1785,8017,3373,2844,45,459,125,230,122,104,449,45,6,92,31,29,3,0,0,0,0
2010-10-28,1765,6745,1768,3320,185,484,135,322,108,101,198,41,21,43,15,14,7,0,0,0,1
2010-10-29,963,3312,1075,4805,780,1604,155,225,100,48,114,53,21,46,5,15,6,0,0,0,3
2010-10-30,248,2734,726,968,1017,1000,154,150,94,40,133,46,15,13,4,16,6,0,0,0,1
2010-10-31,581,5090,1432,2781,1026,190,111,186,48,31,83,64,19,67,13,14,9,3,0,0,0
2010-11-01,855,4318,1834,4821,1210,2151,182,225,80,55,138,57,36,111,49,15,34,3,0,0,3
2010-11-02,2502,4805,3192,4068,837,1517,171,226,91,72,87,46,40,112,36,21,24,1,0,0,10
2010-11-03,6605,571,1132,510,814,187,147,227,150,150,182,24,22,30,67,10,12,0,0,0,1
2010-11-04,3595,269,1183,87,811,163,216,221,126,163,176,80,45,29,26,14,26,2,0,0,6
2010-11-05,1981,1148,1900,405,904,558,179,229,217,108,90,30,31,81,24,15,60,0,0,0,1
2010-11-06,1537,1126,201,529,707,963,122,219,127,81,24,34,11,67,16,0,5,0,0,0,1
2010-11-07,3072,996,165,884,174,477,142,69,114,86,3,78,12,17,16,0,1,0,0,0,0
2010-11-08,1252,424,761,1716,888,371,202,212,89,187,3,208,5,83,71,0,16,0,0,0,4
2010-11-09,12984,650,24,4740,993,453,166,274,83,139,0,41,23,61,197,0,35,0,0,0,3
2010-11-10,10103,736,937,2200,874,265,188,398,131,378,3,83,12,34,21,0,0,18,0,0,14
2010-11-11,6092,693,743,4479,773,183,152,301,93,144,2,40,9,33,22,0,9,0,0,0,22
2010-11-12,794,1872,656,2041,904,106,122,314,115,98,0,101,6,34,24,0,5,0,0,0,8
2010-11-13,772,868,676,2313,455,228,115,225,29,139,0,53,12,8,10,0,1,0,0,0,8
2010-11-14,2585,548,672,1564,788,194,120,160,2,50,0,33,6,14,22,0,1,0,0,0,7
2010-11-15,3656,281,1410,1978,1021,179,174,382,110,7,0,72,14,9,26,0,4,0,0,0,16
2010-11-16,5298,992,535,1794,628,158,182,378,470,70,0,107,20,10,27,0,0,0,0,0,1
2010-11-17,5754,2026,1657,744,825,156,313,317,301,157,0,81,5,35,52,0,53,0,0,0,9
2010-11-18,7582,1633,825,511,661,171,355,204,139,323,0,93,20,41,30,0,6,10,0,0,14
2010-11-19,3196,1704,4639,1768,660,350,285,204,114,164,0,63,13,22,39,0,5,7,0,0,19
2010-11-20,4073,6079,1033,0,898,139,205,207,201,197,0,82,10,32,71,0,10,26,0,0,8
2010-11-21,1803,2934,280,2307,808,124,195,230,274,158,0,79,8,34,15,0,21,26,0,0,5
2010-11-22,2994,2557,9236,2953,802,117,161,223,288,155,0,55,19,48,57,0,24,26,0,0,29
2010-11-23,1586,1595,20371,2909,801,770,250,36,143,144,0,45,18,48,42,0,106,10,0,0,18
2010-11-24,1668,1316,15099,526,1096,225,239,84,62,202,0,44,19,81,20,0,73,12,0,0,4
2010-11-25,1010,1111,32,2507,1119,172,259,60,60,100,0,2,17,42,16,0,11,5,0,0,0
2010-11-26,724,1807,43,4477,923,217,520,75,44,130,0,52,7,39,20,0,3,0,0,0,0
2010-11-27,1336,1249,3719,3487,671,1413,229,58,94,184,0,69,12,33,14,0,27,0,0,0,0
2010-11-28,1757,1211,4077,3389,1149,1656,269,111,101,126,0,63,6,62,13,0,46,0,0,0,0
2010-11-29,1906,471,13170,4360,998,145,135,100,76,156,0,64,20,10,33,0,57,3,0,0,4
2010-11-30,1759,1032,7070,456,1235,218,153,208,60,269,0,146,17,98,8,0,35,6,0,0,2
2010-12-01,1491,1637,713,2614,1079,233,246,6,102,517,0,105,17,273,15,0,31,2,0,0,1
2010-12-02,1090,1898,6540,742,1077,1160,237,0,71,274,0,78,19,62,26,0,27,19,0,0,3
2010-12-03,817,1664,24,1385,975,473,80,0,106,545,0,31,17,93,13,0,17,8,0,0,8
2010-12-04,2204,1323,471,2753,873,473,66,0,47,100,0,57,11,91,8,0,8,4,0,0,8
2010-12-05,2251,1526,10,1355,853,1420,26,0,28,58,0,76,14,98,9,0,9,5,0,0,4
2010-12-06,1111,2792,54,3431,851,401,26,0,30,245,0,75,15,87,39,0,43,7,0,0,2
2010-12-07,1454,4807,54,3354,931,2118,92,0,65,204,0,62,14,30,31,0,35,9,0,0,2
2010-12-08,1350,3958,20,3377,1023,3006,80,0,55,135,0,76,18,69,46,0,32,9,0,0,3
2010-12-09,2955,3401,22,2340,848,863,99,0,77,163,0,78,62,53,43,0,10,22,0,0,6
2010-12-10,11001,2255,282,3387,802,3595,77,0,174,313,0,37,18,29,44,0,15,25,0,0,3
2010-12-11,8343,3340,420,2259,808,3559,137,0,36,215,0,25,12,30,19,0,18,22,0,0,0
2010-12-12,9490,3613,48,968,556,1252,79,0,32,150,0,11,10,17,17,0,9,23,0,0,2
2010-12-13,13413,2553,7916,1796,865,952,87,0,142,145,0,14,10,290,29,0,8,18,0,0,4
2010-12-14,8040,6130,5387,1604,697,188,136,0,123,288,0,24,13,28,11,0,11,18,0,0,2
2010-12-15,6216,3441,1285,610,863,228,136,0,191,249,0,95,9,51,34,0,11,27,0,0,1
2010-12-16,5084,1317,481,947,1289,1954,150,0,76,265,0,149,14,28,44,0,5,28,0,0,2
2010-12-17,5001,1450,862,1010,1088,3323,205,0,245,233,0,19,4,40,38,0,4,7,0,0,1
2010-12-18,3343,1104,80,918,907,2199,70,0,64,143,0,57,8,35,36,0,5,22,0,0,0
2010-12-19,2579,2197,37,2953,889,575,230,0,27,78,0,110,6,56,39,0,4,23,0,0,0
2010-12-20,4023,1335,1174,2764,837,1733,92,0,45,167,0,30,8,46,52,0,4,31,0,0,4
2010-12-21,5170,2163,248,2507,728,1139,128,0,56,88,0,109,24,52,36,0,1,55,0,0,10
2010-12-22,2928,1667,1259,2312,770,286,125,0,122,119,0,53,9,60,40,0,2,63,0,0,0
2010-12-23,3995,6958,62,131,583,182,89,0,101,116,0,155,19,43,73,0,3,27,0,0,1
2010-12-24,5256,1549,204,35,819,173,90,0,112,49,0,89,7,72,49,0,9,34,0,0,0
2010-12-25,6188,1071,881,70,615,124,92,0,57,71,0,175,81,45,46,0,2,26,0,0,0
2010-12-26,5136,930,506,128,626,176,97,0,105,106,0,3,10,58,46,0,2,20,0,0,0
2010-12-27,4657,6633,974,466,654,153,178,0,103,78,0,97,30,57,57,0,2,19,0,0,1
2010-12-28,5597,956,222,678,0,124,104,0,67,189,0,51,23,62,32,0,1,1,0,0,0
2010-12-29,11471,805,404,1167,0,211,109,0,84,146,0,206,10,54,43,0,4,3,0,0,0
2010-12-30,5024,1311,53,659,125,201,118,0,48,47,0,103,16,62,18,0,4,18,0,0,0
2010-12-31,11114,2388,69,2732,406,524,144,0,39,54,0,216,29,61,19,0,6,10,0,0,0
2011-01-01,8614,3421,6,1408,637,102,83,0,60,129,0,64,36,43,26,0,11,9,0,0,1
2011-01-02,8051,5982,12,936,580,220,124,0,23,250,0,438,26,58,20,0,15,29,0,0,7
2011-01-03,8909,8371,327,1537,840,93,108,0,52,184,0,82,46,53,36,0,7,15,0,0,3
2011-01-04,9359,10702,629,1994,879,262,109,0,56,120,0,188,37,47,63,0,5,14,0,0,1
2011-01-05,10055,8546,1817,244,1438,171,161,0,69,102,0,158,51,273,42,0,6,32,0,0,0
2011-01-06,5739,7218,11364,549,1099,1312,205,0,149,178,0,72,39,191,69,0,6,12,0,0,7
2011-01-07,5625,1802,501,1245,1019,2836,131,0,80,278,0,131,7,100,49,0,7,11,0,0,2
2011-01-08,4985,7089,1375,903,1020,1812,170,0,88,167,0,79,26,135,20,0,5,2,0,0,0
2011-01-09,6697,11319,1607,2346,1031,1138,354,0,235,172,0,77,29,52,67,0,5,1,0,0,10
2011-01-10,5407,10811,2540,5123,1542,509,416,0,136,198,0,79,51,39,46,0,16,11,0,0,0
2011-01-11,3073,4580,2393,1985,1043,600,114,0,342,193,0,63,219,51,36,0,0,9,0,0,0
2011-01-12,6985,1765,4102,1746,982,555,332,0,158,303,0,69,387,106,49,0,0,6,0,0,0
2011-01-13,13597,1599,13033,682,1128,101,316,0,250,529,0,58,54,267,90,0,7,12,0,12,3
2011-01-14,22660,4375,8959,555,1013,1971,293,0,136,155,0,95,56,56,87,0,5,19,0,146,0
2011-01-15,19658,2772,7654,1422,1007,7295,544,0,74,78,0,64,46,86,23,0,4,4,0,2,5
2011-01-16,19197,2979,1894,1368,1314,7010,577,0,46,91,0,67,42,84,33,0,3,3,0,17,1
2011-01-17,18198,1127,2957,1549,964,3615,523,0,131,174,0,56,156,428,19,0,5,1,0,12,3
2011-01-18,11320,2450,759,2498,193,2097,365,0,213,225,0,68,32,86,25,0,4,2,0,16,0
2011-01-19,13850,4661,1487,1055,882,199,691,0,336,151,0,70,206,65,43,0,3,15,0,28,5
2011-01-20,10699,2709,880,1838,889,808,500,0,246,158,0,70,247,97,20,0,69,21,0,51,4
2011-01-21,12836,3301,383,1532,1561,3776,264,0,245,134,0,89,59,66,32,0,13,16,7,23,8
2011-01-22,10510,3173,161,1264,1000,2468,300,0,116,102,0,65,1742,34,29,0,2,2,14,25,2
2011-01-23,26147,2635,202,1144,738,4295,275,0,99,145,0,66,1107,74,24,0,2,6,9,10,5
2011-01-24,25208,1995,1505,1414,1015,394,213,0,220,218,0,253,1577,75,64,0,4,2,38,18,9
2011-01-25,15600,1336,3603,2203,870,167,244,0,121,181,0,75,32,114,46,0,2,2,22,15,4
2011-01-26,14233,1431,4364,886,1057,105,234,0,143,285,0,59,29,171,33,0,4,15,64,196,3
2011-01-27,35908,6697,818,428,1335,805,208,0,211,241,0,118,136,80,48,0,2,16,176,32,2
2011-01-28,41575,4963,147,943,961,488,192,0,1064,382,0,67,30,131,26,0,1,19,481,120,7
2011-01-29,36831,9032,474,1123,897,310,157,0,136,232,0,79,923,45,53,0,0,4,83,10,0
2011-01-30,24630,14992,151,149,917,173,192,0,305,347,0,68,97,44,23,0,1,5,26,33,1
2011-01-31,26518,1397,235,898,854,273,163,0,345,401,0,165,2182,140,37,0,0,5,90,48,0
