title
"Number of Jobs Ended: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[OSG] Number of Jobs Ended","[SDSC COMET] Number of Jobs Ended","[TACC STAMPEDE] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[NICS DARTER] Number of Jobs Ended","[CCT LSU SUPERMIC] Number of Jobs Ended","[TACC MAVERICK2] Number of Jobs Ended","[PSC GREENFIELD] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended"
2015-12-19,25822,1990,2586,515,85,48,217,37,0,0
2015-12-20,21547,1780,4437,714,64,102,93,22,0,0
2015-12-21,11821,2577,866,555,137,12,128,36,0,0
2015-12-22,9433,3046,1077,628,88,94,153,13,0,0
2015-12-23,11369,3071,2347,962,128,69,139,32,0,0
2015-12-24,30464,2364,1960,1170,60,72,161,12,0,0
2015-12-25,53815,1346,1582,327,85,80,179,6,0,0
2015-12-26,91630,4369,2281,359,88,107,129,14,0,0
2015-12-27,91943,5294,2170,263,109,88,285,8,0,0
2015-12-28,189478,4195,2292,340,202,83,223,49,0,0
2015-12-29,238340,6505,2220,384,149,69,158,27,0,0
2015-12-30,67938,6719,2398,403,217,83,124,14,0,0
2015-12-31,56182,1108,3408,312,145,25,142,13,0,0
2016-01-01,66203,587,8115,389,219,78,63,16,0,0
2016-01-02,178826,821,3399,1724,146,21,34,12,0,0
2016-01-03,177300,1758,2270,1720,98,53,46,26,0,0
2016-01-04,153700,3418,3315,351,140,481,98,24,0,0
2016-01-05,66953,4778,3214,701,146,1657,135,24,0,0
2016-01-06,78229,4188,3596,994,183,1474,178,28,0,0
2016-01-07,36125,5294,3984,724,304,2077,134,17,0,0
2016-01-08,30105,4527,4430,718,251,1777,109,15,0,1
2016-01-09,70621,2420,7046,497,275,1673,32,1,0,0
2016-01-10,203144,1290,2310,426,199,3347,61,11,0,0
2016-01-11,128474,3535,8123,895,138,3216,92,37,0,13
2016-01-12,274496,6109,5142,633,287,575,155,8,0,41
2016-01-13,138101,5409,7678,687,135,130,154,10,0,6
2016-01-14,86415,7548,7123,686,99,43,156,1,0,5
2016-01-15,36428,7248,4256,573,102,93,110,21,0,12
2016-01-16,45564,3065,2443,502,150,633,170,14,0,0
2016-01-17,115970,3149,3469,334,165,162,57,8,0,0
2016-01-18,177901,3895,3788,488,200,39,70,34,0,0
2016-01-19,122835,6422,5704,729,202,83,118,35,0,4
2016-01-20,165489,3405,4723,806,163,137,80,19,0,0
2016-01-21,88973,3672,5174,749,201,117,42,25,0,7
2016-01-22,221917,1947,4619,686,136,55,119,8,0,6
2016-01-23,144874,2051,3999,557,50,77,159,1,0,0
2016-01-24,129147,2205,7992,432,155,90,88,22,0,0
2016-01-25,38921,4559,8921,714,233,83,209,12,0,0
2016-01-26,193412,4761,4576,614,168,60,146,39,0,4
2016-01-27,121348,4275,4629,940,278,132,65,33,0,12
2016-01-28,54348,2683,4766,940,323,116,90,24,0,4
2016-01-29,17560,1701,4844,505,136,117,108,23,0,3
2016-01-30,28892,1304,10762,436,88,92,28,32,0,0
2016-01-31,78341,1276,13773,494,78,123,124,44,0,0
---------
