Day,[PURDUE CONDOR] Number of Jobs Ended,[PURDUE STEELE] Number of Jobs Ended,[NCSA ABE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[NICS ATHENA] Number of Jobs Ended,[TACC LONESTAR] Number of Jobs Ended,[NCSA COBALT] Number of Jobs Ended,[IU BIGRED*] Number of Jobs Ended,[NCSA DTF] Number of Jobs Ended,[PSC POPLE] Number of Jobs Ended,[PSC BIGBEN] Number of Jobs Ended,[NCSA LINCOLN] Number of Jobs Ended,[ORNL NSTG] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NCAR FROST] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended
2010-04-09,35202,7283,1919,1002,946,211,476,509,264,83,0,100,0,10,55,23,2,10,0
2010-04-10,47039,10448,2683,1509,846,165,12,213,301,79,0,129,0,5,55,16,0,5,0
2010-04-11,66681,8060,3005,799,700,129,1,355,199,78,0,69,0,8,53,22,3,3,0
2010-04-12,63450,3110,651,577,1073,178,61,354,399,103,0,102,0,5,64,39,4,2,0
2010-04-13,50428,3233,2302,626,1023,193,191,325,245,81,0,96,0,13,39,45,5,3,0
2010-04-14,26488,7824,4192,322,1133,297,356,473,242,87,0,82,0,50,22,74,13,3,0
2010-04-15,16253,1198,4698,503,946,283,291,286,181,52,0,88,0,49,23,49,11,6,0
2010-04-16,14622,980,3889,552,997,203,398,329,141,59,0,106,0,42,23,59,18,17,0
2010-04-17,11874,986,1717,530,530,245,77,308,71,45,0,0,0,41,17,41,9,13,0
2010-04-18,22593,1295,2112,381,607,133,109,308,151,85,0,16,0,42,17,19,7,7,0
2010-04-19,29133,4044,2159,1034,978,309,729,352,170,96,0,111,0,70,26,7,31,10,0
2010-04-20,36054,7558,1802,1324,984,229,567,269,286,89,0,157,0,61,23,1,21,9,0
2010-04-21,27918,1114,1310,242,929,162,594,304,159,86,0,111,0,53,34,9,14,18,0
2010-04-22,17962,1690,1535,891,912,306,790,269,174,64,0,97,0,74,65,16,7,13,0
2010-04-23,16544,1146,2781,661,941,242,347,221,189,79,0,108,0,101,59,21,6,12,1
2010-04-24,18530,2221,3308,612,711,190,280,207,250,55,0,37,0,124,49,11,60,4,0
2010-04-25,19698,1255,2537,424,893,97,1123,228,150,52,0,143,0,62,57,31,16,5,0
2010-04-26,11860,2015,2466,658,1127,224,1214,274,338,52,0,118,0,57,52,60,6,11,0
2010-04-27,21023,1199,1736,654,1054,307,1611,320,143,50,0,158,0,113,65,70,64,9,2
2010-04-28,19794,3098,2921,534,968,196,1902,330,204,59,0,104,0,67,65,72,122,5,1
2010-04-29,12094,1514,4216,900,984,380,1570,218,300,52,0,316,0,114,62,45,16,8,3
2010-04-30,9722,1101,2508,836,1056,89,627,178,246,46,0,329,0,29,39,38,32,4,1
2010-05-01,2098,798,1605,1058,849,58,216,138,82,32,0,134,0,91,16,34,8,3,0
2010-05-02,1711,5407,2288,754,1231,47,768,75,65,25,0,138,0,44,24,35,8,3,0
2010-05-03,2268,4602,1026,729,1448,167,961,283,344,36,0,257,0,63,42,53,24,5,0
2010-05-04,10418,481,1776,999,327,187,1007,264,262,28,0,74,0,58,68,42,23,0,0
2010-05-05,10394,648,1475,1176,914,151,1005,283,275,11,0,128,0,97,65,39,19,0,2
2010-05-06,8049,580,1108,825,1184,135,1017,207,304,41,0,117,0,54,58,42,12,13,0
2010-05-07,10446,1692,1279,889,882,338,90,213,470,24,0,127,0,55,57,46,12,3,0
2010-05-08,22176,7113,922,162,583,167,33,281,147,19,0,88,0,21,52,36,16,4,2
2010-05-09,28844,4757,575,297,594,81,963,218,210,25,0,68,0,12,53,39,21,2,0
2010-05-10,44778,5640,1557,1013,979,114,979,231,384,21,0,102,0,26,64,48,13,11,2
2010-05-11,30423,7748,1541,1147,771,174,955,270,277,21,0,120,0,42,60,78,13,6,6
2010-05-12,27024,5310,1708,1501,836,244,970,287,258,22,0,74,0,16,57,60,11,8,10
2010-05-13,38734,3929,1198,1473,684,343,308,169,248,35,0,192,0,50,44,57,13,4,11
2010-05-14,29682,772,1869,0,614,205,0,255,144,30,0,190,0,37,0,83,10,5,19
2010-05-15,29376,794,2581,0,768,179,0,159,48,17,0,199,0,77,0,36,14,2,3
2010-05-16,33465,8032,1100,26,654,258,927,201,118,35,0,115,0,20,15,44,10,1,8
2010-05-17,40886,589,11922,625,773,112,967,227,223,29,0,110,0,58,61,73,12,12,6
2010-05-18,53813,419,4416,878,738,196,957,210,215,36,0,162,0,64,79,87,14,7,11
2010-05-19,57189,2445,2122,818,781,215,961,186,276,65,0,168,0,37,80,100,13,6,2
2010-05-20,86448,5055,1627,665,768,252,75,301,208,59,0,135,0,51,62,60,13,9,0
2010-05-21,62768,1511,3742,1652,885,128,0,346,220,70,0,106,0,42,52,59,5,3,3
2010-05-22,75742,1712,757,659,633,118,40,224,222,58,0,42,0,21,56,30,8,3,1
2010-05-23,46540,7643,3058,518,644,64,932,196,204,49,0,49,0,24,60,42,7,1,3
2010-05-24,39243,7191,3309,982,787,185,966,245,473,87,0,97,0,85,66,65,6,1,8
2010-05-25,44828,4340,1855,1066,956,131,965,191,178,360,0,83,0,753,59,10,9,5,6
2010-05-26,57232,8177,2086,218,746,2706,958,280,651,208,0,131,0,1024,55,52,16,9,3
2010-05-27,65254,7452,2515,49,892,760,930,404,281,60,0,105,0,22,60,45,8,1,3
2010-05-28,74218,4683,2453,430,763,364,102,393,425,54,0,257,0,19,59,36,6,4,8
2010-05-29,59493,1511,2703,263,601,210,31,159,238,169,0,128,0,31,55,8,6,5,9
2010-05-30,85122,2330,1191,321,572,199,985,145,156,50,0,138,0,16,56,7,6,1,2
2010-05-31,62414,1515,1519,570,795,122,955,150,255,57,0,105,0,37,48,8,7,1,1
2010-06-01,17973,3148,975,2074,927,2411,2219,285,225,29,0,119,0,17,35,75,6,5,0
2010-06-02,15423,9882,548,116,1037,2392,2057,145,325,36,0,156,0,26,0,28,8,0,3
2010-06-03,35820,3091,1956,1042,933,698,1718,162,398,34,0,81,0,60,26,23,45,2,0
2010-06-04,30073,2173,3589,1096,900,7863,1089,227,338,48,0,130,0,35,55,17,47,6,0
2010-06-05,28043,5420,1641,444,750,286,1859,206,121,54,0,97,0,24,55,7,15,2,0
2010-06-06,41057,1446,129,501,880,368,2067,283,132,50,0,52,0,2,58,22,13,2,0
2010-06-07,31103,4335,50,1010,1112,3294,1540,237,259,66,0,44,0,0,66,26,51,17,0
2010-06-08,22058,3520,4,1815,1077,1336,2311,282,307,62,0,153,0,0,66,23,26,20,0
2010-06-09,22723,3457,3433,115,672,398,1883,276,277,67,0,163,0,104,65,62,33,14,0
2010-06-10,25677,2203,893,572,1089,171,2162,263,254,89,0,59,0,43,67,67,13,13,0
2010-06-11,15068,3597,3499,1754,1216,310,1708,223,232,58,0,123,0,74,55,36,19,18,0
2010-06-12,22981,5230,5144,1258,1223,206,1732,173,130,264,0,84,0,16,63,27,8,7,0
2010-06-13,24756,1834,4254,360,1246,191,1419,171,149,74,0,73,0,8,60,17,8,7,0
2010-06-14,29173,4288,5565,1004,1059,1793,1334,332,217,60,0,51,0,61,66,85,38,31,0
2010-06-15,8359,5460,5036,2085,1015,3313,1717,318,269,74,0,59,0,31,66,8,45,19,0
2010-06-16,16558,1831,1968,210,842,47,2064,363,343,270,0,139,0,26,60,57,17,56,0
2010-06-17,19003,1535,1896,1324,912,214,1703,1247,256,101,0,116,0,13,52,41,20,56,0
2010-06-18,17380,2955,3551,1078,1060,554,1399,480,240,54,0,134,0,9,62,23,14,19,0
2010-06-19,24182,2572,674,1011,820,197,605,212,206,70,0,66,0,26,61,29,9,4,0
2010-06-20,305,6648,376,857,867,174,2555,267,139,51,0,89,0,17,63,40,7,2,0
2010-06-21,2988,6105,80,1256,927,219,1932,208,327,47,0,128,0,6,70,86,10,13,0
2010-06-22,1076,7562,0,1567,791,4925,1075,509,318,446,0,202,0,0,135,20,13,5,0
2010-06-23,765,7119,52,106,945,263,3824,237,361,90,0,149,0,0,60,31,9,21,0
2010-06-24,1262,5591,1237,321,842,275,6104,302,435,142,0,107,0,20,62,75,23,2,0
2010-06-25,4079,0,1280,1098,1000,347,2580,270,348,353,0,87,0,53,75,64,10,9,0
2010-06-26,1237,6221,1664,139,793,164,2559,198,87,66,0,139,0,24,58,5,6,6,0
2010-06-27,372,2099,1012,675,805,152,2691,244,159,537,0,112,0,26,57,6,5,9,0
2010-06-28,6650,3849,1577,931,977,698,2625,352,156,364,0,127,0,202,59,10,9,45,0
2010-06-29,11349,5958,2906,1982,745,172,1739,569,280,98,0,120,0,151,532,4,40,13,0
2010-06-30,19572,2730,1679,46,795,415,1318,184,293,605,0,157,0,19,70,35,18,22,2
2010-07-01,20440,1851,1398,118,885,100,2398,155,310,204,0,175,0,11,331,16,7,9,7
2010-07-02,27647,4019,1039,388,1033,188,870,162,270,510,0,130,0,24,83,8,31,12,5
2010-07-03,31479,3814,679,241,976,120,2308,109,183,1687,0,69,0,11,60,4,21,10,0
2010-07-04,18208,3911,843,624,789,70,2636,94,106,218,0,34,0,7,59,3,13,9,0
2010-07-05,14428,2167,1464,598,824,90,3068,163,228,1429,0,35,0,18,48,7,15,9,6
2010-07-06,21816,4335,1556,1226,1035,69,2593,206,222,6204,0,155,0,47,32,11,7,12,13
2010-07-07,4221,6165,1140,1309,1069,297,1862,168,303,2180,0,124,0,59,33,25,17,13,14
2010-07-08,7036,3477,2174,1081,1805,205,1818,462,259,73,0,191,0,388,38,12,25,15,22
2010-07-09,13089,3330,3396,1362,1109,916,1546,386,229,225,0,150,0,57,164,15,34,22,3
2010-07-10,14374,3443,1314,1963,960,88,1772,222,185,133,0,75,0,59,4,5,9,8,1
2010-07-11,17242,2803,1970,1445,757,42,1429,243,163,90,0,82,0,71,13,5,8,10,2
2010-07-12,34505,0,1398,1247,954,100,787,406,163,521,0,79,0,95,37,15,21,9,1
2010-07-13,13866,3382,2344,2494,239,1035,2286,763,259,1340,0,95,0,350,94,38,25,2,2
2010-07-14,13534,2240,2507,184,1001,154,1386,296,259,664,0,136,0,94,191,37,16,14,3
2010-07-15,9842,2098,2657,161,1146,700,715,602,327,266,0,163,0,154,364,27,17,15,0
2010-07-16,16656,2182,2468,1073,1068,229,1009,599,245,123,0,157,0,567,816,12,32,10,2
2010-07-17,17736,5746,1301,667,717,486,1171,482,172,143,0,84,0,398,64,7,16,10,1
2010-07-18,13415,1932,1398,914,585,411,871,296,144,208,0,47,0,7,7,4,7,7,1
2010-07-19,10841,6470,1925,2140,818,101,988,320,242,206,0,91,0,45,4,17,33,7,1
2010-07-20,10352,4675,1749,1711,839,111,261,252,236,123,0,143,0,65,44,16,8,5,0
2010-07-21,9191,5676,1814,307,943,4307,133,911,262,88,0,71,0,413,126,35,18,9,0
2010-07-22,9129,7981,1922,1666,729,12243,157,851,304,71,0,137,0,410,123,17,17,18,0
2010-07-23,12636,2551,1298,1153,750,11326,194,446,177,115,0,157,0,202,8,35,24,34,0
2010-07-24,1156,421,1179,917,660,117,264,232,222,67,0,122,0,11,51,14,7,13,1
2010-07-25,11681,2887,1394,1002,673,6108,119,257,273,72,0,90,0,42,70,8,4,8,0
2010-07-26,4915,2514,1470,1105,857,7303,233,433,181,92,0,131,0,69,38,14,9,12,0
2010-07-27,713,1823,3244,1390,1162,17311,197,1190,114,42,0,151,0,108,17,15,15,13,0
2010-07-28,1063,2219,817,172,1194,566,197,396,111,90,0,137,0,98,28,10,56,14,0
2010-07-29,506,5360,8588,749,990,230,224,368,252,51,0,160,0,46,67,13,21,21,0
2010-07-30,373,3423,3119,1669,1175,6559,125,280,262,41,0,128,0,36,68,13,16,8,0
2010-07-31,93,7867,1908,909,732,1013,152,169,197,56,0,85,0,7,51,2,6,7,0
