Day,[TACC STAMPEDE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[NICS DARTER] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[TACC MAVERICK2] Number of Jobs Ended,[GATECH KIDS] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended
2014-05-14,4485,0,1330,2226,2002,319,107,36,0,1,0,0
2014-05-15,6411,0,1531,1706,2042,316,98,277,0,6,0,0
2014-05-16,8679,0,767,1246,537,306,150,464,0,19,0,0
2014-05-17,6250,0,300,897,24,228,78,156,0,23,0,0
2014-05-18,7794,0,561,457,1410,521,70,94,0,26,0,0
2014-05-19,7769,0,690,578,2036,158,77,156,0,118,0,0
2014-05-20,2384,0,1255,744,1936,284,147,186,0,7,0,0
2014-05-21,3776,0,1036,913,2030,443,144,166,0,29,0,0
2014-05-22,4546,0,1653,678,2219,338,111,239,0,4,0,0
2014-05-23,3495,0,2685,471,1153,464,45,264,0,29,0,0
2014-05-24,2400,0,614,658,63,132,10,216,0,7,0,0
2014-05-25,4632,0,273,1141,1421,220,0,166,0,4,0,0
2014-05-26,6499,0,1051,526,2102,206,0,179,0,7,0,0
2014-05-27,4090,0,1315,613,2197,120,118,159,0,4,0,0
2014-05-28,4157,0,705,702,2115,238,168,158,0,56,0,0
2014-05-29,2736,0,899,741,2144,252,52,282,0,37,0,0
2014-05-30,3600,0,1689,756,753,293,208,209,0,27,0,0
2014-05-31,5291,0,338,577,126,153,156,246,0,47,0,0
2014-06-01,4746,0,364,543,1446,275,419,207,0,10,0,0
2014-06-02,3557,0,692,1113,1873,617,201,522,0,4,0,0
2014-06-03,4189,0,803,2037,2231,114,239,157,0,4,0,0
2014-06-04,3294,0,3595,1511,1924,266,81,203,0,1,0,0
2014-06-05,4589,0,844,1276,2127,412,769,195,0,4,0,0
2014-06-06,3821,0,2290,671,932,417,1124,452,0,18,0,0
2014-06-07,5776,0,1448,525,85,256,911,468,0,7,0,0
2014-06-08,5620,0,413,751,44,134,882,359,0,3,0,0
2014-06-09,7109,0,3361,993,145,201,139,635,0,1,0,0
2014-06-10,4727,0,6419,1120,140,299,53,302,0,8,0,0
2014-06-11,4689,0,2747,1181,84,437,476,290,57,29,0,0
2014-06-12,4201,0,1814,1203,54,404,1146,497,37,18,0,0
2014-06-13,4620,0,2406,1105,57,350,888,521,36,47,0,0
2014-06-14,5095,0,2362,585,39,244,2450,213,43,8,0,0
2014-06-15,5297,0,2047,1409,347,276,951,211,62,6,0,0
2014-06-16,3758,0,2843,1214,58,242,267,171,36,43,0,0
2014-06-17,1210,0,4595,1203,391,382,923,106,127,39,0,0
2014-06-18,3043,0,8284,562,394,380,136,113,87,6,0,0
2014-06-19,1999,0,4698,785,366,434,1207,544,133,32,0,0
2014-06-20,2316,0,1093,1287,399,478,1750,448,31,32,0,0
2014-06-21,2531,0,1803,886,70,189,1516,406,63,17,0,0
2014-06-22,3156,0,397,1085,35,135,258,448,34,7,0,0
2014-06-23,3511,0,596,1296,401,328,80,464,66,21,0,0
2014-06-24,1705,0,1254,2260,471,598,431,724,67,17,0,0
2014-06-25,3100,0,1669,1077,303,468,350,339,42,16,0,0
2014-06-26,2753,0,597,1009,205,348,257,271,60,12,0,3
2014-06-27,2357,0,1701,931,154,314,986,110,51,20,0,2
2014-06-28,2508,0,1569,373,72,315,136,62,21,15,0,2
2014-06-29,1807,0,1796,516,13,314,1440,175,17,14,0,3
2014-06-30,3315,0,700,727,351,289,781,891,106,11,0,6
2014-07-01,3058,0,661,820,73,329,165,250,138,7,0,6
2014-07-02,4589,0,563,712,8,323,493,51,140,5,0,3
2014-07-03,4962,0,650,767,96,384,328,337,108,1,0,0
2014-07-04,6415,0,609,1110,28,599,62,281,39,0,0,0
2014-07-05,5377,0,252,692,28,370,76,179,3,0,0,0
2014-07-06,4263,0,582,1613,33,145,77,143,22,12,0,5
2014-07-07,3910,0,1788,1510,163,345,225,274,43,7,0,3
2014-07-08,3459,0,1024,1932,178,100,311,419,129,25,0,17
2014-07-09,3539,0,756,2173,122,253,139,525,56,25,0,17
2014-07-10,4451,0,1419,2057,210,316,194,349,172,13,0,5
2014-07-11,6458,0,1921,1041,108,203,68,348,59,65,0,9
2014-07-12,10560,0,705,573,62,197,100,339,51,1,0,0
2014-07-13,7093,0,657,437,63,155,109,241,44,4,0,0
2014-07-14,6061,0,1120,936,139,142,110,299,78,3,0,8
2014-07-15,2182,0,1140,925,97,216,127,331,23,11,0,3
2014-07-16,2437,0,1039,742,152,199,199,266,130,2,0,14
2014-07-17,3771,0,1084,991,197,142,21,266,43,3,0,21
2014-07-18,6969,0,929,1232,226,162,27,229,73,13,0,1
2014-07-19,7473,0,1035,550,119,84,15,199,76,14,0,1
2014-07-20,6749,0,758,794,164,97,6,286,39,10,0,1
2014-07-21,4580,0,866,743,285,144,19,170,59,1,0,0
2014-07-22,4231,0,969,751,247,175,17,432,125,19,0,16
2014-07-23,3905,0,1028,680,77,174,35,145,574,18,0,13
2014-07-24,4245,0,1021,811,963,239,21,15,1116,9,0,3
2014-07-25,6197,0,928,1267,1585,231,15,372,99,618,0,4
2014-07-26,9502,0,1066,2198,1322,115,67,616,37,200,0,29
2014-07-27,11286,0,730,1103,896,133,34,275,24,202,0,27
2014-07-28,7944,0,624,989,1421,168,37,207,787,401,0,1
2014-07-29,3017,0,864,2450,402,173,42,101,895,53,0,11
2014-07-30,5056,0,1030,939,185,147,200,148,2106,32,0,7
2014-07-31,5571,0,1030,1732,1670,136,75,275,1116,54,0,18
