title
"Number of Jobs Ended: by Resource"
parameters

start,end
2013-08-01,2014-01-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[SDSC GORDON] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[GATECH KEENELAND] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[GATECH KIDS] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[PURDUE STEELE] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended"
2013-09-27,3689,1622,1203,527,947,72,131,27,0,47,0,11
2013-09-28,3776,1991,1070,418,1025,116,124,42,0,7,0,11
2013-09-29,3558,1943,1331,358,569,108,117,12,0,0,0,15
2013-09-30,3247,2052,984,526,575,127,161,48,111,68,0,30
2013-10-01,3574,3039,2225,475,778,7,173,114,6,0,0,7
2013-10-02,3362,4037,1047,1211,1039,24,343,110,8,0,0,4
2013-10-03,3969,4144,895,1763,1088,110,193,14,76,2,0,3
2013-10-04,3323,4481,606,1281,1430,403,195,43,92,2,0,6
2013-10-05,2432,6181,562,465,697,128,99,18,54,2,0,5
2013-10-06,2435,6391,972,363,362,117,105,24,104,0,0,0
2013-10-07,3627,4796,1082,2167,826,323,170,9,120,10,0,14
2013-10-08,2632,3523,725,1051,1187,140,254,14,82,0,0,1
2013-10-09,3797,2704,1038,2651,807,157,372,13,125,0,0,0
2013-10-10,4025,2413,1574,563,1064,309,240,14,169,0,0,0
2013-10-11,3997,3050,1134,596,825,631,156,5,96,0,0,0
2013-10-12,4480,9,1430,517,297,9,85,19,0,0,0,0
2013-10-13,4680,878,851,400,371,86,62,3,3,0,0,0
2013-10-14,4579,2827,1104,582,1055,184,120,93,30,0,0,0
2013-10-15,2653,3478,1094,247,1079,180,234,12,24,0,0,0
2013-10-16,4859,3470,852,550,833,145,431,54,24,4,0,0
2013-10-17,3694,3436,829,842,864,76,202,60,37,2,0,0
2013-10-18,2840,4869,906,626,644,68,244,17,67,0,0,0
2013-10-19,3541,3228,851,637,303,42,220,21,29,0,0,0
2013-10-20,2094,3008,582,356,337,74,113,120,18,0,0,0
2013-10-21,3688,2358,1088,596,788,185,71,108,5,0,0,0
2013-10-22,3373,2026,1906,1041,988,25,68,33,20,0,0,4
2013-10-23,4075,3464,647,812,845,262,140,10,23,1,0,0
2013-10-24,3683,3868,706,1181,678,168,155,15,1,0,0,0
2013-10-25,3568,2151,2386,1022,695,184,516,64,0,0,0,0
2013-10-26,2206,773,1457,770,573,30,116,219,1,0,0,0
2013-10-27,1831,2152,399,2099,421,41,94,198,19,0,0,0
2013-10-28,4632,1942,499,2460,968,114,394,114,29,0,0,0
2013-10-29,1194,1139,524,953,850,136,415,295,3,0,0,0
2013-10-30,4242,1198,470,948,915,264,418,584,13,0,0,0
2013-10-31,4693,2948,616,1610,935,129,140,125,0,0,0,0
2013-11-01,3772,2911,717,1709,797,96,148,523,3,0,0,0
2013-11-02,2449,3211,1544,1181,606,85,97,424,0,0,0,0
2013-11-03,2632,2837,623,1363,1684,76,447,3,1,0,0,0
2013-11-04,3431,2243,2208,1289,870,470,65,8,0,0,0,0
2013-11-05,3776,786,817,1115,1745,28,193,32,0,0,0,0
2013-11-06,3017,2285,628,1266,717,264,289,33,3,0,0,0
2013-11-07,2922,3393,795,1934,986,107,234,55,0,0,0,0
2013-11-08,3977,3035,461,1302,935,406,221,25,1,0,0,0
2013-11-09,3121,3820,499,3731,425,120,38,149,1,0,0,0
2013-11-10,2367,3739,597,7112,587,77,115,237,3,0,0,5
2013-11-11,4058,3014,1565,2410,1005,491,305,103,0,0,0,2
2013-11-12,3300,2462,1358,780,545,208,253,4,5,7,0,0
2013-11-13,3158,3431,775,2457,1039,143,269,290,147,0,0,0
2013-11-14,4591,3360,797,746,2119,112,256,225,103,0,0,0
2013-11-15,6334,3332,690,4506,773,195,215,255,189,0,0,1
2013-11-16,3250,3826,811,2919,1065,155,128,123,2,0,0,0
2013-11-17,3721,3072,631,1728,707,162,54,49,6,0,0,0
2013-11-18,3502,3290,645,962,789,371,182,8,247,0,0,0
2013-11-19,3510,3627,1815,917,687,23,140,18,138,0,0,6
2013-11-20,4004,3065,1352,537,2271,72,130,150,8,0,0,13
2013-11-21,20673,1947,1942,740,1881,204,130,377,1,1,0,0
2013-11-22,3883,3941,1072,572,516,206,191,197,3,0,0,0
2013-11-23,3271,2306,692,2253,306,90,85,151,0,0,0,0
2013-11-24,6372,3912,360,3097,398,62,62,131,18,0,0,0
2013-11-25,4431,3402,1048,2178,636,354,138,11,2,0,0,2
2013-11-26,3843,2782,857,1874,834,99,147,23,1,0,0,4
2013-11-27,2736,3019,722,656,1075,205,70,65,147,0,0,0
2013-11-28,2139,2478,648,582,562,0,57,276,1,0,0,0
2013-11-29,2706,2482,761,541,272,0,13,275,0,0,0,0
2013-11-30,1976,3448,883,741,188,0,12,253,1,0,0,0
2013-12-01,2806,2360,1082,789,267,334,180,87,45,0,0,0
2013-12-02,4174,2329,1681,931,677,105,120,34,505,0,0,3
2013-12-03,3642,3605,1263,1064,596,15,193,11,1010,0,0,6
2013-12-04,4111,2168,1519,1357,582,69,227,87,495,0,0,6
2013-12-05,3270,1699,393,1615,544,226,236,10,3,0,0,5
2013-12-06,4482,2492,67,965,137,250,213,22,590,0,0,5
2013-12-07,2461,2403,0,724,0,133,80,9,489,0,0,2
2013-12-08,15789,2456,0,834,0,123,89,143,343,0,0,3
2013-12-09,3194,2362,202,921,9,637,68,554,787,0,0,10
2013-12-10,915,2819,690,1023,42,398,115,92,603,0,0,4
2013-12-11,4043,3267,635,1059,372,108,180,135,488,0,0,6
2013-12-12,3696,2237,679,710,365,151,125,150,51,0,0,7
2013-12-13,2475,1948,649,769,495,209,82,145,31,0,0,6
2013-12-14,2832,1058,498,637,429,112,79,2,20,0,0,6
2013-12-15,5234,2154,684,501,312,156,44,15,25,0,0,1
2013-12-16,4201,2442,1261,718,597,101,150,3,9,0,0,2
2013-12-17,2409,222,1078,778,654,8,143,32,0,0,0,0
2013-12-18,3225,1799,761,940,774,18,76,263,47,0,0,1
2013-12-19,3058,1547,1180,757,852,144,136,124,105,0,0,1
2013-12-20,2772,1382,1148,972,924,299,132,153,76,0,0,2
2013-12-21,1602,1279,295,446,323,98,168,138,58,0,0,4
2013-12-22,1704,2320,327,395,850,49,244,16,137,0,0,4
2013-12-23,2550,2276,601,467,897,69,139,27,105,0,0,3
2013-12-24,2436,1340,803,644,344,134,158,18,64,0,0,4
2013-12-25,3021,1374,706,413,288,102,86,27,32,0,0,4
2013-12-26,3586,1142,230,577,329,82,92,18,92,0,0,2
2013-12-27,3331,853,218,1522,261,139,144,174,26,0,0,3
2013-12-28,1983,672,228,1629,214,137,131,461,6,0,0,2
2013-12-29,1807,847,598,1428,266,136,86,94,4,0,0,2
2013-12-30,1486,593,1923,1432,340,152,100,504,8,0,0,4
2013-12-31,2107,666,304,1431,307,66,72,524,2,0,0,2
2014-01-01,3613,351,780,1223,172,174,110,166,5,0,0,3
2014-01-02,25062,813,1581,1142,355,95,176,10,58,0,0,2
2014-01-03,23482,1321,1696,992,524,99,108,12,39,0,0,1
2014-01-04,18624,374,583,598,262,69,71,18,65,0,0,2
2014-01-05,38977,1006,984,3944,312,51,110,9,118,0,0,1
2014-01-06,28407,1156,671,3113,519,83,141,9,38,0,0,1
2014-01-07,6721,478,1214,625,361,142,221,16,28,0,0,3
2014-01-08,3101,1282,512,580,573,251,118,8,127,0,0,4
2014-01-09,9579,1339,2019,578,1385,515,164,40,165,0,0,4
2014-01-10,8548,1058,1967,482,1248,132,149,422,48,0,0,0
2014-01-11,8846,823,631,221,549,119,84,200,65,0,0,0
2014-01-12,7264,821,1007,273,614,223,112,452,71,0,0,0
2014-01-13,5954,1916,1738,533,948,213,98,83,62,0,0,0
2014-01-14,6153,2169,1475,589,1141,116,142,28,58,0,0,1
2014-01-15,8218,1341,2053,596,1801,467,129,41,151,0,0,2
2014-01-16,6677,1417,2184,378,2087,527,119,47,154,0,0,0
2014-01-17,10739,2307,658,446,845,261,74,49,90,0,0,3
2014-01-18,16648,5184,861,174,410,235,63,22,72,0,0,3
2014-01-19,12624,5213,697,166,609,336,81,24,59,0,0,1
2014-01-20,10917,3544,773,343,703,351,143,27,113,0,0,0
2014-01-21,4293,2252,1192,622,1165,30,135,15,41,0,0,1
2014-01-22,8029,3469,714,371,1186,468,287,26,71,0,0,1
2014-01-23,10105,1177,1445,652,1955,595,111,3,40,0,0,3
2014-01-24,12696,4373,614,487,1853,432,87,52,30,0,0,0
2014-01-25,9617,6501,708,313,763,459,121,20,4,0,0,0
2014-01-26,6530,4631,1122,346,1504,320,114,19,12,0,0,0
2014-01-27,3632,4540,1626,485,1649,759,130,17,15,0,0,0
2014-01-28,2966,7079,1257,595,606,150,178,21,78,0,0,2
2014-01-29,3278,5932,1737,841,840,257,122,26,35,0,0,0
2014-01-30,4214,7140,743,275,927,818,96,19,39,0,0,0
2014-01-31,7015,3318,721,367,795,656,106,67,25,0,0,0
---------
