,[CCT LSU SUPERMIC] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[NCSA FORGE] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[OSG] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[SDSC DASH] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started
2010-02-11,,,,102.0,257.0,259.0,3069.0,197.0,345.0,,,639.0,0.0,,1147.0,,32.0,,119.0,,,,,115.0,88.0,8260.0,,0.0,,,,,160.0,21.0,,586.0,2.0,
2010-02-12,,,,45.0,250.0,33.0,1755.0,104.0,378.0,,,18.0,0.0,,1290.0,,39.0,,40.0,,,,,64.0,3548.0,9687.0,,0.0,,,,,257.0,7.0,,436.0,3.0,
2010-02-13,,,,25.0,97.0,10.0,961.0,174.0,382.0,,,15.0,0.0,,1155.0,,55.0,,98.0,,,,,99.0,5.0,10754.0,,0.0,,,,,129.0,0.0,,425.0,3.0,
2010-02-14,,,,37.0,193.0,4.0,1172.0,62.0,241.0,,,21.0,0.0,,1218.0,,54.0,,34.0,,,,,87.0,6.0,2411.0,,0.0,,,,,138.0,0.0,,441.0,5.0,
2010-02-15,,,,41.0,231.0,37.0,2120.0,200.0,358.0,,,58.0,0.0,,1795.0,,56.0,,133.0,,,,,111.0,54.0,8716.0,,0.0,,,,,313.0,2.0,,497.0,2.0,
2010-02-16,,,,31.0,199.0,36.0,797.0,197.0,646.0,,,129.0,0.0,,780.0,,59.0,,154.0,,,,,96.0,111.0,7557.0,,0.0,,,,,320.0,13.0,,453.0,2.0,
2010-02-17,,,,20.0,0.0,68.0,1797.0,153.0,528.0,,,84.0,0.0,,1017.0,,76.0,,539.0,,,,,111.0,4077.0,5353.0,,0.0,,,,,275.0,48.0,,567.0,2.0,
2010-02-18,,,,28.0,0.0,327.0,2751.0,238.0,440.0,,,74.0,0.0,,1451.0,,63.0,,760.0,,,,,116.0,4133.0,3886.0,,0.0,,,,,298.0,22.0,,640.0,1.0,
2010-02-19,,,,29.0,0.0,150.0,994.0,230.0,287.0,,,83.0,0.0,,1322.0,,58.0,,743.0,,,,,108.0,5079.0,8235.0,,0.0,,,,,532.0,2.0,,573.0,2.0,
2010-02-20,,,,12.0,0.0,41.0,945.0,124.0,402.0,,,69.0,0.0,,1037.0,,56.0,,529.0,,,,,82.0,8059.0,3575.0,,0.0,,,,,229.0,0.0,,556.0,0.0,
2010-02-21,,,,9.0,1.0,22.0,1518.0,115.0,716.0,,,66.0,0.0,,1271.0,,58.0,,809.0,,,,,55.0,3938.0,4129.0,,0.0,,,,,201.0,0.0,,422.0,1.0,
2010-02-22,,,,21.0,44.0,70.0,2822.0,121.0,572.0,,,125.0,0.0,,1658.0,,70.0,,584.0,,,,,163.0,2810.0,1169.0,,0.0,,,,,365.0,7.0,,653.0,3.0,
2010-02-23,,,,85.0,270.0,57.0,1251.0,252.0,658.0,,,81.0,0.0,,1334.0,,70.0,,774.0,,,,,95.0,2341.0,1159.0,,0.0,,,,,285.0,7.0,,559.0,5.0,
2010-02-24,,,,78.0,210.0,33.0,1027.0,223.0,938.0,,,477.0,0.0,,281.0,,60.0,,94.0,,,,,92.0,2731.0,979.0,,0.0,,,,,250.0,6.0,,517.0,3.0,
2010-02-25,,,,124.0,226.0,32.0,1037.0,291.0,1139.0,,,234.0,0.0,,187.0,,73.0,,128.0,,,,,138.0,2653.0,2519.0,,0.0,,,,,512.0,41.0,,559.0,1.0,
2010-02-26,,,,124.0,431.0,85.0,825.0,114.0,1661.0,,,24.0,0.0,,1631.0,,62.0,,399.0,,,,,86.0,1259.0,3618.0,,0.0,,,,,305.0,27.0,,924.0,0.0,
2010-02-27,,,,108.0,585.0,14.0,218.0,132.0,1166.0,,,20.0,0.0,,1171.0,,59.0,,1033.0,,,,,114.0,1518.0,870.0,,0.0,,,,,254.0,3.0,,550.0,4.0,
2010-02-28,,,,117.0,110.0,52.0,449.0,107.0,751.0,,,22.0,0.0,,680.0,,56.0,,524.0,,,,,234.0,2038.0,3019.0,,0.0,,,,,232.0,13.0,,637.0,4.0,
2010-03-01,,,,305.0,71.0,27.0,1010.0,138.0,653.0,,,65.0,0.0,,1042.0,,59.0,,99.0,,,,,166.0,3742.0,3702.0,,0.0,,,,,199.0,49.0,,588.0,3.0,
2010-03-02,,,,24.0,163.0,70.0,1237.0,232.0,261.0,,,37.0,0.0,,740.0,,58.0,,267.0,,,,,387.0,8139.0,1276.0,,0.0,,,,,2682.0,54.0,,679.0,5.0,
2010-03-03,,,,31.0,165.0,122.0,1910.0,220.0,260.0,,,39.0,0.0,,8.0,,57.0,,816.0,,,,,152.0,4579.0,1586.0,,0.0,,,,,2031.0,59.0,,693.0,5.0,
2010-03-04,,,,32.0,327.0,114.0,1383.0,346.0,280.0,,,54.0,0.0,,6.0,,60.0,,269.0,,,,,115.0,4409.0,1394.0,,0.0,,,,,1385.0,80.0,,853.0,5.0,
2010-03-05,,,,82.0,430.0,22.0,1333.0,271.0,365.0,,,50.0,0.0,,8.0,,60.0,,93.0,,,,,223.0,1862.0,1054.0,,0.0,,,,,192.0,10.0,,722.0,8.0,
2010-03-06,,,,143.0,117.0,18.0,1724.0,235.0,208.0,,,30.0,0.0,,768.0,,54.0,,526.0,,,,,36.0,4356.0,3148.0,,0.0,,,,,275.0,8.0,,756.0,0.0,
2010-03-07,,,,50.0,748.0,41.0,3321.0,308.0,237.0,,,46.0,0.0,,715.0,,52.0,,274.0,,,,,51.0,4825.0,4881.0,,0.0,,,,,191.0,6.0,,649.0,2.0,
2010-03-08,,,,56.0,567.0,35.0,1238.0,191.0,258.0,,,13.0,0.0,,1760.0,,63.0,,85.0,,,,,158.0,8630.0,10719.0,,0.0,,,,,215.0,17.0,,700.0,3.0,
2010-03-09,,,,45.0,408.0,44.0,1637.0,213.0,235.0,,,51.0,0.0,,1477.0,,68.0,,81.0,,,,,265.0,10127.0,10923.0,,0.0,,,,,261.0,50.0,,828.0,3.0,
2010-03-10,,,,19.0,347.0,23.0,1164.0,267.0,268.0,,,37.0,0.0,,4.0,,69.0,,53.0,,,,,105.0,5519.0,4277.0,,0.0,,,,,228.0,82.0,,830.0,2.0,
2010-03-11,,,,14.0,175.0,20.0,2500.0,266.0,375.0,,,27.0,0.0,,61.0,,63.0,,151.0,,,,,92.0,3871.0,4156.0,,0.0,,,,,164.0,114.0,,536.0,9.0,
2010-03-12,,,,11.0,568.0,18.0,4240.0,158.0,210.0,,,27.0,0.0,,1464.0,,61.0,,269.0,,,,,135.0,5260.0,3055.0,,0.0,,,,,122.0,39.0,,688.0,3.0,
2010-03-13,,,,6.0,113.0,6.0,994.0,122.0,243.0,,,7.0,0.0,,869.0,,55.0,,1445.0,,,,,148.0,6133.0,355.0,,0.0,,,,,60.0,28.0,,286.0,0.0,
2010-03-14,,,,23.0,222.0,13.0,919.0,205.0,250.0,,,44.0,0.0,,652.0,,51.0,,595.0,,,,,32.0,18800.0,926.0,,0.0,,,,,69.0,64.0,,369.0,0.0,
2010-03-15,,,,0.0,178.0,16.0,1354.0,128.0,207.0,,,105.0,0.0,,1090.0,,63.0,,341.0,,,,,35.0,25005.0,3426.0,,0.0,,,,,127.0,37.0,,641.0,1.0,
2010-03-16,,,,85.0,262.0,76.0,1086.0,270.0,522.0,,,42.0,0.0,,1524.0,,53.0,,607.0,,,,,128.0,12757.0,2186.0,,0.0,,,,,114.0,23.0,,393.0,4.0,
2010-03-17,,,,60.0,190.0,112.0,271.0,246.0,354.0,,,0.0,0.0,,73.0,,41.0,,590.0,,,,,104.0,4430.0,2486.0,,0.0,,,,,246.0,2.0,,983.0,6.0,
2010-03-18,,,,46.0,205.0,21.0,1466.0,235.0,1739.0,,,85.0,0.0,,765.0,,63.0,,108.0,,,,,133.0,19891.0,5973.0,,0.0,,,,,161.0,6.0,,832.0,7.0,
2010-03-19,,,,47.0,354.0,15.0,999.0,215.0,570.0,,,66.0,0.0,,1882.0,,59.0,,65.0,,,,,52.0,14771.0,6020.0,,0.0,,,,,226.0,7.0,,733.0,5.0,
2010-03-20,,,,56.0,201.0,7.0,1272.0,138.0,143.0,,,35.0,0.0,,1409.0,,53.0,,96.0,,,,,92.0,10053.0,2662.0,,0.0,,,,,222.0,0.0,,655.0,9.0,
2010-03-21,,,,42.0,129.0,6.0,944.0,166.0,251.0,,,7.0,0.0,,1023.0,,30.0,,55.0,,,,,38.0,9643.0,1143.0,,0.0,,,,,487.0,0.0,,654.0,3.0,
2010-03-22,,,,29.0,120.0,12.0,1171.0,362.0,418.0,,,14.0,0.0,,1254.0,,33.0,,158.0,,,,,79.0,25545.0,1286.0,,0.0,,,,,367.0,8.0,,979.0,9.0,
2010-03-23,,,,38.0,207.0,7.0,2303.0,365.0,259.0,,,26.0,0.0,,1081.0,,57.0,,203.0,,,,,159.0,6694.0,3214.0,,0.0,,,,,587.0,0.0,,1035.0,7.0,
2010-03-24,,,,75.0,345.0,31.0,2793.0,176.0,209.0,,,68.0,0.0,,38.0,,56.0,,154.0,,,,,198.0,27850.0,6220.0,,0.0,,,,,282.0,46.0,,939.0,9.0,
2010-03-25,,,,36.0,423.0,6.0,3134.0,390.0,340.0,,,101.0,0.0,,24.0,,58.0,,123.0,,,,,207.0,18179.0,5349.0,,0.0,,,,,218.0,15.0,,710.0,0.0,
2010-03-26,,,,46.0,215.0,11.0,1081.0,355.0,316.0,,,105.0,0.0,,789.0,,61.0,,121.0,,,,,405.0,19498.0,9910.0,,0.0,,,,,347.0,33.0,,1280.0,1.0,
2010-03-27,,,,72.0,632.0,6.0,826.0,123.0,327.0,,,88.0,0.0,,1141.0,,70.0,,67.0,,,,,170.0,14639.0,3825.0,,0.0,,,,,211.0,6.0,,835.0,3.0,
2010-03-28,,,,70.0,280.0,4.0,1236.0,196.0,293.0,,,43.0,0.0,,1228.0,,69.0,,67.0,,,,,245.0,29281.0,5945.0,,0.0,,,,,143.0,14.0,,744.0,0.0,
2010-03-29,,,,71.0,207.0,17.0,1609.0,281.0,240.0,,,37.0,0.0,,1431.0,,74.0,,213.0,,,,,308.0,38174.0,10592.0,,0.0,,,,,205.0,71.0,,1001.0,4.0,
2010-03-30,,,,80.0,148.0,12.0,2412.0,205.0,245.0,,,108.0,0.0,,861.0,,68.0,,390.0,,,,,169.0,20195.0,1169.0,,0.0,,,,,203.0,11.0,,856.0,8.0,
2010-03-31,,,,227.0,293.0,16.0,1203.0,297.0,143.0,,,79.0,0.0,,39.0,,72.0,,277.0,,,,,70.0,3012.0,1135.0,,0.0,,,,,337.0,16.0,,765.0,6.0,
2010-04-01,,,,61.0,423.0,4.0,930.0,343.0,25.0,,,11.0,8.0,,5.0,,61.0,,0.0,,,,,95.0,37375.0,1405.0,,0.0,,,,,397.0,25.0,,849.0,4.0,
2010-04-02,,,,39.0,224.0,16.0,0.0,210.0,0.0,,,0.0,26.0,,582.0,,39.0,,0.0,,,,,67.0,38526.0,1296.0,,0.0,,,,,389.0,28.0,,940.0,5.0,
2010-04-03,,,,29.0,387.0,5.0,0.0,418.0,0.0,,,0.0,50.0,,1676.0,,16.0,,0.0,,,,,37.0,18624.0,817.0,,0.0,,,,,161.0,4.0,,608.0,2.0,
2010-04-04,,,,19.0,135.0,8.0,0.0,153.0,0.0,,,0.0,56.0,,2483.0,,17.0,,0.0,,,,,114.0,13774.0,689.0,,0.0,,,,,140.0,3.0,,834.0,0.0,
2010-04-05,,,,76.0,972.0,5.0,1156.0,328.0,0.0,,,60.0,95.0,,1424.0,,52.0,,0.0,,,,,263.0,27557.0,1157.0,,0.0,,,,,312.0,59.0,,795.0,6.0,
2010-04-06,,,,122.0,576.0,16.0,1351.0,316.0,0.0,,,77.0,73.0,,186.0,,56.0,,0.0,,,,,164.0,45390.0,1177.0,,0.0,,,,,185.0,5.0,,817.0,7.0,
2010-04-07,,,,66.0,187.0,8.0,1469.0,345.0,0.0,,,83.0,148.0,,14.0,,64.0,,0.0,,,,,155.0,40260.0,8515.0,,0.0,,,,,243.0,58.0,,739.0,6.0,
2010-04-08,,,,72.0,259.0,6.0,1698.0,287.0,0.0,,,19.0,258.0,,191.0,,63.0,,0.0,,,,,220.0,60057.0,7656.0,,0.0,,,,,436.0,18.0,,740.0,4.0,
2010-04-09,,,,81.0,209.0,2.0,1963.0,270.0,0.0,,,8.0,476.0,,1097.0,,55.0,,0.0,,,,,110.0,35281.0,7282.0,,0.0,,,,,542.0,23.0,,1026.0,12.0,
2010-04-10,,,,94.0,164.0,0.0,2611.0,312.0,0.0,,,5.0,12.0,,1474.0,,55.0,,0.0,,,,,116.0,46704.0,10776.0,,0.0,,,,,176.0,16.0,,923.0,3.0,
2010-04-11,,,,76.0,122.0,3.0,2844.0,191.0,0.0,,,6.0,1.0,,797.0,,53.0,,0.0,,,,,70.0,66566.0,7878.0,,0.0,,,,,358.0,22.0,,606.0,3.0,
2010-04-12,,,,98.0,194.0,4.0,1225.0,403.0,0.0,,,10.0,78.0,,565.0,,64.0,,0.0,,,,,107.0,64194.0,3099.0,,0.0,,,,,364.0,39.0,,1076.0,2.0,
2010-04-13,,,,91.0,221.0,5.0,2475.0,233.0,0.0,,,22.0,243.0,,526.0,,39.0,,0.0,,,,,93.0,50229.0,3246.0,,0.0,,,,,336.0,51.0,,1088.0,4.0,
2010-04-14,,,,68.0,263.0,13.0,3800.0,227.0,0.0,,,48.0,307.0,,471.0,,22.0,,0.0,,,,,71.0,26335.0,7796.0,,0.0,,,,,466.0,86.0,,1129.0,2.0,
2010-04-15,,,,55.0,307.0,11.0,4772.0,198.0,0.0,,,49.0,340.0,,440.0,,23.0,,0.0,,,,,85.0,16635.0,1228.0,,0.0,,,,,290.0,48.0,,839.0,6.0,
2010-04-16,,,,62.0,184.0,18.0,3803.0,153.0,0.0,,,45.0,333.0,,570.0,,23.0,,0.0,,,,,85.0,15111.0,994.0,,0.0,,,,,320.0,49.0,,987.0,18.0,
2010-04-17,,,,57.0,229.0,9.0,1887.0,60.0,0.0,,,38.0,77.0,,529.0,,17.0,,0.0,,,,,0.0,12298.0,959.0,,0.0,,,,,299.0,46.0,,532.0,12.0,
2010-04-18,,,,84.0,159.0,7.0,2117.0,139.0,0.0,,,42.0,112.0,,437.0,,17.0,,0.0,,,,,42.0,21745.0,1329.0,,0.0,,,,,327.0,11.0,,629.0,7.0,
2010-04-19,,,,101.0,302.0,31.0,1948.0,184.0,0.0,,,73.0,729.0,,1044.0,,26.0,,0.0,,,,,100.0,29373.0,4094.0,,0.0,,,,,325.0,3.0,,1021.0,11.0,
2010-04-20,,,,97.0,248.0,22.0,1642.0,272.0,0.0,,,59.0,573.0,,1136.0,,23.0,,0.0,,,,,163.0,35965.0,7465.0,,0.0,,,,,278.0,5.0,,913.0,8.0,
2010-04-21,,,,68.0,183.0,14.0,1534.0,158.0,0.0,,,53.0,596.0,,526.0,,34.0,,0.0,,,,,130.0,27419.0,1137.0,,0.0,,,,,307.0,9.0,,966.0,19.0,
2010-04-22,,,,62.0,307.0,6.0,1711.0,188.0,0.0,,,75.0,793.0,,794.0,,65.0,,0.0,,,,,104.0,18869.0,1670.0,,0.0,,,,,267.0,17.0,,949.0,12.0,
2010-04-23,,,,74.0,221.0,7.0,2540.0,194.0,0.0,,,97.0,332.0,,585.0,,59.0,,0.0,,,,,92.0,15940.0,1086.0,,1.0,,,,,212.0,20.0,,886.0,12.0,
2010-04-24,,,,58.0,159.0,59.0,3480.0,254.0,0.0,,,124.0,281.0,,529.0,,49.0,,0.0,,,,,27.0,18335.0,2271.0,,0.0,,,,,222.0,10.0,,663.0,4.0,
2010-04-25,,,,51.0,116.0,17.0,2411.0,139.0,0.0,,,65.0,1123.0,,579.0,,57.0,,0.0,,,,,151.0,19659.0,1187.0,,0.0,,,,,238.0,32.0,,1006.0,5.0,
2010-04-26,,,,53.0,234.0,6.0,2447.0,336.0,0.0,,,57.0,1213.0,,655.0,,52.0,,0.0,,,,,122.0,12054.0,2104.0,,0.0,,,,,266.0,61.0,,1090.0,11.0,
2010-04-27,,,,52.0,292.0,69.0,1777.0,151.0,0.0,,,114.0,1633.0,,497.0,,65.0,,0.0,,,,,148.0,20819.0,1382.0,,2.0,,,,,327.0,69.0,,988.0,9.0,
2010-04-28,,,,55.0,199.0,127.0,2968.0,205.0,0.0,,,67.0,1905.0,,677.0,,65.0,,0.0,,,,,109.0,19810.0,2963.0,,3.0,,,,,351.0,74.0,,983.0,5.0,
2010-04-29,,,,52.0,364.0,7.0,4095.0,311.0,0.0,,,107.0,1583.0,,901.0,,62.0,,0.0,,,,,331.0,11862.0,1411.0,,3.0,,,,,200.0,43.0,,1024.0,8.0,
2010-04-30,,,,44.0,95.0,36.0,2517.0,223.0,0.0,,,28.0,600.0,,948.0,,39.0,,0.0,,,,,335.0,9244.0,1074.0,,0.0,,,,,198.0,38.0,,1039.0,4.0,
2010-05-01,,,,34.0,32.0,8.0,1591.0,62.0,0.0,,,91.0,204.0,,1065.0,,16.0,,0.0,,,,,131.0,2092.0,736.0,,0.0,,,,,117.0,34.0,,853.0,4.0,
2010-05-02,,,,20.0,34.0,12.0,2223.0,60.0,0.0,,,53.0,802.0,,657.0,,24.0,,0.0,,,,,138.0,2018.0,5412.0,,0.0,,,,,68.0,35.0,,1255.0,2.0,
2010-05-03,,,,32.0,172.0,24.0,987.0,362.0,0.0,,,63.0,972.0,,656.0,,42.0,,0.0,,,,,243.0,2136.0,4716.0,,0.0,,,,,313.0,53.0,,1305.0,5.0,
2010-05-04,,,,19.0,192.0,26.0,1791.0,287.0,0.0,,,58.0,990.0,,905.0,,68.0,,0.0,,,,,91.0,10072.0,440.0,,0.0,,,,,270.0,44.0,,476.0,0.0,
2010-05-05,,,,30.0,156.0,13.0,1462.0,283.0,0.0,,,99.0,1014.0,,1276.0,,65.0,,0.0,,,,,117.0,10787.0,736.0,,1.0,,,,,226.0,38.0,,854.0,0.0,
2010-05-06,,,,42.0,140.0,7.0,1234.0,313.0,0.0,,,55.0,1000.0,,819.0,,58.0,,0.0,,,,,123.0,8122.0,534.0,,0.0,,,,,212.0,43.0,,1197.0,13.0,
2010-05-07,,,,23.0,381.0,21.0,1264.0,426.0,0.0,,,53.0,70.0,,866.0,,57.0,,0.0,,,,,123.0,10367.0,1686.0,,2.0,,,,,239.0,45.0,,901.0,3.0,
2010-05-08,,,,20.0,102.0,10.0,823.0,178.0,0.0,,,17.0,33.0,,57.0,,52.0,,0.0,,,,,85.0,23107.0,6981.0,,2.0,,,,,250.0,37.0,,609.0,4.0,
2010-05-09,,,,20.0,72.0,21.0,611.0,200.0,0.0,,,10.0,968.0,,619.0,,53.0,,0.0,,,,,61.0,28310.0,4785.0,,0.0,,,,,263.0,39.0,,623.0,2.0,
2010-05-10,,,,20.0,154.0,14.0,1527.0,400.0,0.0,,,24.0,976.0,,1000.0,,64.0,,0.0,,,,,125.0,45058.0,5763.0,,1.0,,,,,226.0,49.0,,911.0,11.0,
2010-05-11,,,,19.0,162.0,12.0,1579.0,289.0,0.0,,,44.0,981.0,,1125.0,,60.0,,0.0,,,,,110.0,30203.0,7585.0,,9.0,,,,,229.0,77.0,,695.0,8.0,
2010-05-12,,,,24.0,277.0,11.0,1865.0,219.0,0.0,,,15.0,972.0,,1456.0,,57.0,,0.0,,,,,74.0,26735.0,5425.0,,8.0,,,,,306.0,60.0,,857.0,6.0,
2010-05-13,,,,26.0,289.0,9.0,1053.0,242.0,0.0,,,50.0,275.0,,1216.0,,44.0,,0.0,,,,,203.0,38845.0,3798.0,,18.0,,,,,163.0,60.0,,697.0,4.0,
2010-05-14,,,,37.0,210.0,13.0,1989.0,119.0,0.0,,,39.0,0.0,,0.0,,0.0,,0.0,,,,,186.0,29491.0,793.0,,12.0,,,,,255.0,82.0,,606.0,6.0,
2010-05-15,,,,28.0,181.0,16.0,2416.0,60.0,0.0,,,77.0,0.0,,0.0,,0.0,,0.0,,,,,215.0,29580.0,764.0,,4.0,,,,,155.0,34.0,,859.0,1.0,
2010-05-16,,,,22.0,240.0,9.0,1199.0,112.0,0.0,,,20.0,960.0,,174.0,,15.0,,0.0,,,,,96.0,33065.0,8074.0,,6.0,,,,,197.0,43.0,,567.0,1.0,
2010-05-17,,,,30.0,119.0,12.0,11873.0,255.0,0.0,,,58.0,971.0,,603.0,,61.0,,0.0,,,,,103.0,41107.0,712.0,,6.0,,,,,236.0,74.0,,764.0,12.0,
2010-05-18,,,,36.0,196.0,15.0,4359.0,217.0,0.0,,,63.0,952.0,,977.0,,79.0,,0.0,,,,,155.0,54033.0,415.0,,10.0,,,,,209.0,97.0,,724.0,7.0,
2010-05-19,,,,63.0,219.0,14.0,2141.0,288.0,0.0,,,36.0,960.0,,705.0,,81.0,,0.0,,,,,180.0,57136.0,2553.0,,2.0,,,,,171.0,90.0,,889.0,6.0,
2010-05-20,,,,60.0,250.0,6.0,1574.0,216.0,0.0,,,49.0,44.0,,847.0,,62.0,,0.0,,,,,118.0,85784.0,4782.0,,1.0,,,,,300.0,62.0,,763.0,9.0,
2010-05-21,,,,69.0,141.0,7.0,3844.0,206.0,0.0,,,42.0,4.0,,1534.0,,52.0,,0.0,,,,,106.0,62662.0,1546.0,,3.0,,,,,351.0,61.0,,801.0,3.0,
2010-05-22,,,,62.0,102.0,8.0,707.0,198.0,0.0,,,23.0,41.0,,726.0,,56.0,,0.0,,,,,38.0,76247.0,1725.0,,0.0,,,,,218.0,22.0,,808.0,3.0,
2010-05-23,,,,53.0,57.0,7.0,2992.0,198.0,0.0,,,20.0,938.0,,427.0,,59.0,,0.0,,,,,52.0,46229.0,7798.0,,3.0,,,,,234.0,42.0,,498.0,1.0,
2010-05-24,,,,85.0,202.0,6.0,3276.0,482.0,0.0,,,208.0,987.0,,1123.0,,66.0,,0.0,,,,,100.0,39140.0,7120.0,,9.0,,,,,235.0,67.0,,832.0,2.0,
2010-05-25,,,,358.0,127.0,8.0,1845.0,196.0,0.0,,,749.0,966.0,,869.0,,60.0,,0.0,,,,,81.0,45027.0,4303.0,,6.0,,,,,177.0,6.0,,931.0,4.0,
2010-05-26,,,,207.0,2728.0,16.0,2165.0,653.0,0.0,,,906.0,947.0,,125.0,,55.0,,0.0,,,,,141.0,57366.0,8598.0,,2.0,,,,,281.0,55.0,,751.0,9.0,
2010-05-27,,,,61.0,794.0,8.0,2706.0,277.0,0.0,,,24.0,935.0,,77.0,,60.0,,0.0,,,,,90.0,65121.0,7184.0,,4.0,,,,,417.0,43.0,,924.0,1.0,
2010-05-28,,,,52.0,362.0,6.0,2393.0,441.0,0.0,,,21.0,80.0,,453.0,,59.0,,0.0,,,,,269.0,74339.0,4602.0,,7.0,,,,,387.0,41.0,,763.0,4.0,
2010-05-29,,,,170.0,202.0,7.0,2498.0,228.0,0.0,,,28.0,31.0,,313.0,,54.0,,0.0,,,,,122.0,60052.0,1503.0,,9.0,,,,,146.0,4.0,,684.0,6.0,
