,[CCT LSU SUPERMIC] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[OSG] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted
2010-03-09,,,,37.0,374.0,44.0,1218.0,160.0,142.0,,,51.0,0.0,,1442.0,,68.0,,74.0,,,,,251.0,10127.0,10449.0,,0.0,,,,,240.0,50.0,,626.0,3.0,
2010-03-10,,,,12.0,300.0,23.0,841.0,158.0,168.0,,,37.0,0.0,,2.0,,69.0,,47.0,,,,,40.0,5519.0,2451.0,,0.0,,,,,189.0,82.0,,638.0,2.0,
2010-03-11,,,,10.0,135.0,20.0,2057.0,180.0,178.0,,,26.0,0.0,,36.0,,63.0,,141.0,,,,,52.0,3871.0,2442.0,,0.0,,,,,125.0,114.0,,423.0,9.0,
2010-03-12,,,,9.0,561.0,14.0,775.0,71.0,115.0,,,21.0,0.0,,1086.0,,61.0,,253.0,,,,,99.0,5260.0,2586.0,,0.0,,,,,93.0,39.0,,433.0,3.0,
2010-03-13,,,,1.0,97.0,6.0,601.0,69.0,75.0,,,7.0,0.0,,791.0,,55.0,,1395.0,,,,,130.0,6133.0,323.0,,0.0,,,,,46.0,28.0,,156.0,0.0,
2010-03-14,,,,21.0,84.0,13.0,422.0,51.0,86.0,,,43.0,0.0,,625.0,,51.0,,581.0,,,,,22.0,18800.0,424.0,,0.0,,,,,44.0,64.0,,170.0,0.0,
2010-03-15,,,,0.0,176.0,16.0,845.0,83.0,125.0,,,103.0,0.0,,1031.0,,63.0,,339.0,,,,,31.0,24905.0,3041.0,,0.0,,,,,106.0,37.0,,620.0,1.0,
2010-03-16,,,,34.0,211.0,76.0,719.0,203.0,495.0,,,42.0,0.0,,1446.0,,53.0,,600.0,,,,,33.0,12586.0,1617.0,,0.0,,,,,74.0,23.0,,130.0,4.0,
2010-03-17,,,,44.0,121.0,112.0,99.0,167.0,182.0,,,0.0,0.0,,27.0,,41.0,,578.0,,,,,94.0,4430.0,1172.0,,0.0,,,,,168.0,2.0,,689.0,6.0,
2010-03-18,,,,36.0,155.0,21.0,1132.0,207.0,1434.0,,,78.0,0.0,,365.0,,63.0,,100.0,,,,,68.0,19891.0,5488.0,,0.0,,,,,141.0,6.0,,661.0,7.0,
2010-03-19,,,,47.0,142.0,11.0,590.0,158.0,479.0,,,66.0,0.0,,1816.0,,59.0,,46.0,,,,,23.0,14771.0,2697.0,,0.0,,,,,204.0,7.0,,562.0,5.0,
2010-03-20,,,,48.0,195.0,6.0,851.0,82.0,108.0,,,29.0,0.0,,1357.0,,53.0,,81.0,,,,,58.0,10053.0,2233.0,,0.0,,,,,195.0,0.0,,346.0,9.0,
2010-03-21,,,,29.0,120.0,5.0,733.0,140.0,174.0,,,7.0,0.0,,980.0,,30.0,,46.0,,,,,25.0,9343.0,634.0,,0.0,,,,,422.0,0.0,,454.0,3.0,
2010-03-22,,,,21.0,119.0,12.0,673.0,362.0,295.0,,,13.0,0.0,,1232.0,,33.0,,148.0,,,,,57.0,25543.0,823.0,,0.0,,,,,354.0,8.0,,908.0,9.0,
2010-03-23,,,,31.0,207.0,7.0,2001.0,336.0,198.0,,,25.0,0.0,,1050.0,,57.0,,186.0,,,,,132.0,6694.0,2924.0,,0.0,,,,,566.0,0.0,,827.0,7.0,
2010-03-24,,,,74.0,345.0,31.0,2222.0,136.0,90.0,,,68.0,0.0,,19.0,,56.0,,131.0,,,,,168.0,27519.0,5682.0,,0.0,,,,,218.0,46.0,,832.0,9.0,
2010-03-25,,,,35.0,417.0,6.0,2302.0,313.0,144.0,,,96.0,0.0,,10.0,,58.0,,111.0,,,,,173.0,18179.0,2491.0,,0.0,,,,,206.0,15.0,,515.0,0.0,
2010-03-26,,,,41.0,162.0,9.0,671.0,315.0,141.0,,,103.0,0.0,,311.0,,61.0,,111.0,,,,,384.0,19398.0,9513.0,,0.0,,,,,309.0,33.0,,890.0,1.0,
2010-03-27,,,,68.0,436.0,5.0,418.0,108.0,175.0,,,88.0,0.0,,691.0,,70.0,,42.0,,,,,152.0,14639.0,2893.0,,0.0,,,,,140.0,6.0,,743.0,3.0,
2010-03-28,,,,67.0,174.0,4.0,763.0,174.0,158.0,,,43.0,0.0,,1115.0,,69.0,,60.0,,,,,207.0,29281.0,5041.0,,0.0,,,,,106.0,14.0,,667.0,0.0,
2010-03-29,,,,70.0,207.0,17.0,1237.0,273.0,170.0,,,37.0,0.0,,1332.0,,74.0,,198.0,,,,,301.0,38074.0,9179.0,,0.0,,,,,161.0,71.0,,812.0,4.0,
2010-03-30,,,,76.0,133.0,12.0,2161.0,160.0,161.0,,,105.0,0.0,,840.0,,68.0,,350.0,,,,,130.0,19795.0,876.0,,0.0,,,,,176.0,11.0,,672.0,8.0,
2010-03-31,,,,218.0,179.0,16.0,972.0,251.0,127.0,,,79.0,0.0,,27.0,,72.0,,269.0,,,,,56.0,2412.0,851.0,,0.0,,,,,279.0,16.0,,634.0,6.0,
2010-04-01,,,,58.0,355.0,4.0,707.0,329.0,1.0,,,6.0,8.0,,0.0,,61.0,,0.0,,,,,60.0,36775.0,1038.0,,0.0,,,,,308.0,24.0,,726.0,4.0,
2010-04-02,,,,39.0,203.0,11.0,0.0,172.0,0.0,,,0.0,25.0,,274.0,,39.0,,0.0,,,,,40.0,38026.0,836.0,,0.0,,,,,302.0,28.0,,734.0,5.0,
2010-04-03,,,,12.0,268.0,5.0,0.0,392.0,0.0,,,0.0,48.0,,1419.0,,16.0,,0.0,,,,,18.0,18324.0,529.0,,0.0,,,,,126.0,4.0,,408.0,2.0,
2010-04-04,,,,15.0,100.0,8.0,0.0,138.0,0.0,,,0.0,55.0,,2459.0,,17.0,,0.0,,,,,48.0,13474.0,374.0,,0.0,,,,,132.0,3.0,,623.0,0.0,
2010-04-05,,,,74.0,899.0,5.0,270.0,326.0,0.0,,,33.0,94.0,,1398.0,,52.0,,0.0,,,,,193.0,26957.0,908.0,,0.0,,,,,294.0,59.0,,708.0,6.0,
2010-04-06,,,,45.0,576.0,16.0,1276.0,222.0,0.0,,,77.0,71.0,,175.0,,56.0,,0.0,,,,,80.0,44490.0,879.0,,0.0,,,,,71.0,5.0,,761.0,7.0,
2010-04-07,,,,63.0,187.0,8.0,1391.0,319.0,0.0,,,83.0,148.0,,12.0,,64.0,,0.0,,,,,94.0,39360.0,8261.0,,0.0,,,,,223.0,58.0,,576.0,6.0,
2010-04-08,,,,68.0,258.0,6.0,1546.0,242.0,0.0,,,18.0,257.0,,46.0,,63.0,,0.0,,,,,101.0,59957.0,7309.0,,0.0,,,,,419.0,18.0,,605.0,4.0,
2010-04-09,,,,79.0,206.0,2.0,1669.0,200.0,0.0,,,6.0,475.0,,833.0,,55.0,,0.0,,,,,88.0,34381.0,6767.0,,0.0,,,,,499.0,23.0,,786.0,12.0,
2010-04-10,,,,84.0,163.0,0.0,2122.0,279.0,0.0,,,4.0,11.0,,1258.0,,55.0,,0.0,,,,,86.0,45904.0,10399.0,,0.0,,,,,154.0,16.0,,660.0,3.0,
2010-04-11,,,,74.0,117.0,3.0,2843.0,170.0,0.0,,,4.0,0.0,,695.0,,53.0,,0.0,,,,,16.0,65766.0,7141.0,,0.0,,,,,339.0,22.0,,528.0,3.0,
2010-04-12,,,,94.0,177.0,4.0,821.0,376.0,0.0,,,8.0,75.0,,544.0,,64.0,,0.0,,,,,71.0,63994.0,1416.0,,0.0,,,,,332.0,39.0,,982.0,2.0,
2010-04-13,,,,88.0,211.0,5.0,2451.0,213.0,0.0,,,22.0,203.0,,494.0,,39.0,,0.0,,,,,62.0,49929.0,2511.0,,0.0,,,,,305.0,51.0,,1004.0,4.0,
2010-04-14,,,,61.0,228.0,13.0,3487.0,209.0,0.0,,,13.0,47.0,,287.0,,22.0,,0.0,,,,,59.0,26035.0,5310.0,,0.0,,,,,441.0,86.0,,1067.0,2.0,
2010-04-15,,,,49.0,290.0,11.0,4763.0,169.0,0.0,,,8.0,156.0,,399.0,,23.0,,0.0,,,,,71.0,16528.0,818.0,,0.0,,,,,264.0,39.0,,662.0,6.0,
2010-04-16,,,,59.0,147.0,18.0,3794.0,132.0,0.0,,,7.0,272.0,,466.0,,23.0,,0.0,,,,,57.0,15111.0,577.0,,0.0,,,,,269.0,49.0,,768.0,18.0,
2010-04-17,,,,46.0,216.0,9.0,1577.0,38.0,0.0,,,1.0,22.0,,305.0,,17.0,,0.0,,,,,0.0,11798.0,576.0,,0.0,,,,,276.0,42.0,,363.0,12.0,
2010-04-18,,,,76.0,154.0,7.0,1426.0,99.0,0.0,,,0.0,53.0,,395.0,,17.0,,0.0,,,,,14.0,21245.0,613.0,,0.0,,,,,258.0,6.0,,420.0,7.0,
2010-04-19,,,,89.0,295.0,31.0,1787.0,184.0,0.0,,,23.0,637.0,,1028.0,,26.0,,0.0,,,,,85.0,29173.0,3659.0,,0.0,,,,,280.0,3.0,,849.0,11.0,
2010-04-20,,,,93.0,246.0,22.0,1501.0,271.0,0.0,,,14.0,499.0,,1085.0,,23.0,,0.0,,,,,132.0,35865.0,5662.0,,0.0,,,,,232.0,0.0,,785.0,8.0,
2010-04-21,,,,65.0,160.0,13.0,1035.0,155.0,0.0,,,9.0,366.0,,311.0,,34.0,,0.0,,,,,61.0,26719.0,666.0,,0.0,,,,,283.0,4.0,,777.0,19.0,
2010-04-22,,,,58.0,270.0,6.0,961.0,181.0,0.0,,,27.0,627.0,,745.0,,65.0,,0.0,,,,,91.0,18869.0,1275.0,,0.0,,,,,224.0,12.0,,723.0,12.0,
2010-04-23,,,,69.0,178.0,6.0,2405.0,179.0,0.0,,,65.0,245.0,,550.0,,59.0,,0.0,,,,,64.0,15440.0,796.0,,1.0,,,,,190.0,15.0,,682.0,12.0,
2010-04-24,,,,48.0,143.0,59.0,3193.0,253.0,0.0,,,60.0,199.0,,275.0,,49.0,,0.0,,,,,17.0,18035.0,2018.0,,0.0,,,,,195.0,9.0,,410.0,4.0,
2010-04-25,,,,50.0,115.0,17.0,2199.0,117.0,0.0,,,21.0,919.0,,530.0,,57.0,,0.0,,,,,108.0,18459.0,670.0,,0.0,,,,,187.0,26.0,,725.0,5.0,
2010-04-26,,,,48.0,214.0,6.0,2034.0,336.0,0.0,,,6.0,955.0,,619.0,,52.0,,0.0,,,,,96.0,11554.0,1636.0,,0.0,,,,,243.0,56.0,,1062.0,11.0,
2010-04-27,,,,48.0,292.0,69.0,1555.0,143.0,0.0,,,74.0,1305.0,,438.0,,65.0,,0.0,,,,,113.0,20019.0,1063.0,,2.0,,,,,295.0,64.0,,817.0,9.0,
2010-04-28,,,,51.0,187.0,126.0,2818.0,193.0,0.0,,,20.0,1605.0,,463.0,,65.0,,0.0,,,,,54.0,19510.0,955.0,,2.0,,,,,331.0,68.0,,751.0,5.0,
2010-04-29,,,,51.0,364.0,5.0,3845.0,306.0,0.0,,,68.0,1368.0,,797.0,,62.0,,0.0,,,,,273.0,11762.0,997.0,,3.0,,,,,190.0,37.0,,771.0,8.0,
2010-04-30,,,,41.0,95.0,31.0,2372.0,216.0,0.0,,,28.0,439.0,,735.0,,39.0,,0.0,,,,,286.0,9244.0,750.0,,0.0,,,,,127.0,32.0,,840.0,4.0,
2010-05-01,,,,33.0,32.0,8.0,1182.0,60.0,0.0,,,91.0,197.0,,827.0,,16.0,,0.0,,,,,54.0,2092.0,364.0,,0.0,,,,,82.0,28.0,,597.0,4.0,
2010-05-02,,,,20.0,31.0,12.0,2168.0,59.0,0.0,,,53.0,790.0,,567.0,,24.0,,0.0,,,,,109.0,2018.0,5024.0,,0.0,,,,,43.0,29.0,,883.0,2.0,
2010-05-03,,,,32.0,172.0,24.0,954.0,362.0,0.0,,,34.0,958.0,,595.0,,42.0,,0.0,,,,,227.0,2136.0,2678.0,,0.0,,,,,268.0,47.0,,1297.0,5.0,
2010-05-04,,,,19.0,192.0,26.0,1650.0,286.0,0.0,,,58.0,982.0,,849.0,,68.0,,0.0,,,,,39.0,10072.0,188.0,,0.0,,,,,248.0,38.0,,209.0,0.0,
2010-05-05,,,,11.0,149.0,13.0,1342.0,278.0,0.0,,,99.0,999.0,,1085.0,,65.0,,0.0,,,,,87.0,10787.0,512.0,,0.0,,,,,212.0,30.0,,675.0,0.0,
2010-05-06,,,,31.0,140.0,7.0,948.0,264.0,0.0,,,55.0,986.0,,514.0,,58.0,,0.0,,,,,42.0,7982.0,125.0,,0.0,,,,,184.0,37.0,,1010.0,13.0,
2010-05-07,,,,21.0,378.0,12.0,753.0,336.0,0.0,,,53.0,56.0,,555.0,,57.0,,0.0,,,,,112.0,10367.0,1095.0,,2.0,,,,,177.0,37.0,,691.0,3.0,
2010-05-08,,,,17.0,96.0,10.0,450.0,132.0,0.0,,,17.0,4.0,,19.0,,52.0,,0.0,,,,,64.0,23107.0,5483.0,,2.0,,,,,224.0,31.0,,301.0,4.0,
2010-05-09,,,,18.0,61.0,21.0,413.0,175.0,0.0,,,10.0,953.0,,152.0,,53.0,,0.0,,,,,42.0,28310.0,4132.0,,0.0,,,,,234.0,32.0,,402.0,2.0,
2010-05-10,,,,19.0,105.0,14.0,1453.0,400.0,0.0,,,24.0,958.0,,822.0,,64.0,,0.0,,,,,123.0,44458.0,5108.0,,1.0,,,,,199.0,43.0,,786.0,11.0,
2010-05-11,,,,15.0,146.0,12.0,1129.0,265.0,0.0,,,44.0,973.0,,1052.0,,60.0,,0.0,,,,,88.0,29903.0,6632.0,,9.0,,,,,211.0,70.0,,545.0,8.0,
2010-05-12,,,,19.0,217.0,11.0,1535.0,207.0,0.0,,,15.0,958.0,,1300.0,,57.0,,0.0,,,,,61.0,26735.0,5033.0,,8.0,,,,,277.0,53.0,,629.0,6.0,
2010-05-13,,,,22.0,196.0,9.0,873.0,219.0,0.0,,,50.0,261.0,,1075.0,,44.0,,0.0,,,,,177.0,38445.0,1969.0,,18.0,,,,,120.0,54.0,,503.0,4.0,
2010-05-14,,,,28.0,200.0,8.0,1854.0,114.0,0.0,,,39.0,0.0,,0.0,,0.0,,0.0,,,,,173.0,29491.0,576.0,,12.0,,,,,223.0,75.0,,358.0,6.0,
2010-05-15,,,,25.0,150.0,15.0,2336.0,46.0,0.0,,,77.0,0.0,,0.0,,0.0,,0.0,,,,,131.0,28980.0,534.0,,4.0,,,,,126.0,26.0,,458.0,1.0,
2010-05-16,,,,17.0,189.0,9.0,1183.0,89.0,0.0,,,20.0,949.0,,15.0,,14.0,,0.0,,,,,70.0,32465.0,7935.0,,6.0,,,,,150.0,37.0,,390.0,1.0,
2010-05-17,,,,23.0,104.0,12.0,11671.0,244.0,0.0,,,56.0,953.0,,473.0,,61.0,,0.0,,,,,88.0,41007.0,670.0,,6.0,,,,,207.0,67.0,,618.0,12.0,
2010-05-18,,,,34.0,161.0,15.0,4092.0,213.0,0.0,,,63.0,939.0,,734.0,,79.0,,0.0,,,,,76.0,52933.0,386.0,,10.0,,,,,163.0,90.0,,561.0,7.0,
2010-05-19,,,,61.0,212.0,14.0,2126.0,279.0,0.0,,,36.0,931.0,,586.0,,81.0,,0.0,,,,,161.0,56936.0,2422.0,,2.0,,,,,147.0,83.0,,638.0,6.0,
2010-05-20,,,,59.0,247.0,5.0,1555.0,172.0,0.0,,,49.0,19.0,,594.0,,62.0,,0.0,,,,,96.0,85584.0,1593.0,,1.0,,,,,283.0,52.0,,531.0,9.0,
2010-05-21,,,,66.0,95.0,4.0,2458.0,192.0,0.0,,,42.0,4.0,,1307.0,,52.0,,0.0,,,,,48.0,62462.0,1261.0,,3.0,,,,,323.0,53.0,,600.0,3.0,
2010-05-22,,,,59.0,75.0,8.0,554.0,194.0,0.0,,,23.0,31.0,,345.0,,56.0,,0.0,,,,,21.0,76247.0,1570.0,,0.0,,,,,208.0,14.0,,406.0,3.0,
2010-05-23,,,,48.0,44.0,7.0,2911.0,198.0,0.0,,,20.0,915.0,,257.0,,59.0,,0.0,,,,,31.0,46229.0,7731.0,,3.0,,,,,188.0,39.0,,419.0,1.0,
2010-05-24,,,,83.0,182.0,5.0,3268.0,479.0,0.0,,,208.0,975.0,,870.0,,66.0,,0.0,,,,,89.0,38840.0,6380.0,,9.0,,,,,222.0,67.0,,797.0,2.0,
2010-05-25,,,,351.0,82.0,8.0,1704.0,171.0,0.0,,,688.0,957.0,,475.0,,60.0,,0.0,,,,,70.0,44827.0,2782.0,,6.0,,,,,157.0,6.0,,790.0,4.0,
2010-05-26,,,,203.0,2658.0,16.0,1844.0,652.0,0.0,,,746.0,938.0,,9.0,,55.0,,0.0,,,,,113.0,57366.0,8206.0,,2.0,,,,,251.0,55.0,,641.0,9.0,
2010-05-27,,,,60.0,730.0,8.0,2261.0,248.0,0.0,,,24.0,894.0,,12.0,,60.0,,0.0,,,,,69.0,65021.0,6065.0,,4.0,,,,,389.0,43.0,,711.0,1.0,
2010-05-28,,,,52.0,182.0,6.0,2178.0,331.0,0.0,,,21.0,52.0,,210.0,,59.0,,0.0,,,,,197.0,73939.0,3074.0,,7.0,,,,,363.0,41.0,,554.0,4.0,
