title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[SDSC GORDON] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[SDSC COMET] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[PSC GREENFIELD] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2015-09-22,5.66281526,6.66328069,0,0.67649434,0.74594154,2.83462863,0.08263061,1.00034000,0,0.00000000
2015-09-23,13.77254557,10.08253083,0,0.96690494,10.22247143,5.14692936,0.06895093,10.39593529,0,0.00000000
2015-09-24,8.28437906,10.06861085,0,1.24858878,2.96490470,5.36025721,0.15130125,1.03966452,0,0.00000000
2015-09-25,23.49873093,10.38243347,0,0.80606432,1.98488116,3.77923415,0.00857619,1.00042333,0,0.00000000
2015-09-26,19.22475739,18.28321461,0,1.13394340,4.47992895,12.15708320,0.00566200,1.00045000,0,0.00000000
2015-09-27,27.29574770,10.27573160,0,1.40054598,2.25782222,9.60290117,0.00000000,1.00040000,0,0.00000000
2015-09-28,3.64989624,14.02000086,0,0.61865535,0.78384384,0.82811376,15.00877639,1.00272295,0,0.00000000
2015-09-29,23.33505000,16.74220462,0,1.25805502,1.73455769,22.85317963,0.43794286,1.00056522,0,0.00000000
2015-09-30,7.75626526,7.56218939,0,0.25713799,5.68268919,7.06173736,0.03437818,1.01865600,0,0.00000000
2015-10-01,41.53809898,4.73776890,0,0.87106319,1.37328283,5.40347760,1.85246302,1.00040156,0,0.00000000
2015-10-02,9.88261450,2.58748972,0,0.51970391,4.30248615,2.34806158,6.33008605,1.00130526,0,0.00000000
2015-10-03,45.83653895,7.69474852,0,1.72946803,9.15744286,1.10473142,7.84930126,1.00046667,0,0.00000000
2015-10-04,17.43521422,8.56615033,0,1.00002605,4.71546901,1.41529951,0.00512778,1.00030000,0,0.00000000
2015-10-05,34.21429677,4.26402574,0,1.27138346,1.74279529,1.43842769,0.00578313,1.00039216,0,0.00000000
2015-10-06,6.20401484,9.59748060,0,1.33897653,1.74822644,2.30616298,5.62160823,1.00040000,0,0.00000000
2015-10-07,6.38330089,16.63571948,0,1.94447197,2.86331453,2.15882244,0.01024130,1.00042857,0,0.00000000
2015-10-08,1.33095409,26.29502898,0,1.11015983,6.32472615,3.20161227,0.66858935,1.06873793,0,0.00000000
2015-10-09,2.94997239,4.71440921,0,4.40782377,5.57330365,3.13781166,0.00527573,1.06030000,0,0.00000000
2015-10-10,4.70490613,10.08091661,0,8.59862248,6.24493649,2.74360324,0.00546667,1.00044000,0,0.00000000
2015-10-11,4.60063516,7.46771687,0,2.24420392,18.53764783,2.79577385,0.00524706,1.00038846,0,0.00000000
2015-10-12,2.88515322,6.84292549,0,3.55033224,2.75536292,1.84055961,0.11276444,1.00055161,0,0.00000000
2015-10-13,1.64123176,11.69037157,0,3.65273349,5.16049429,2.47545202,0.40568117,1.34526207,0,0.00000000
2015-10-14,4.23821901,6.32671287,0,2.83388759,7.92221948,4.09671313,6.69010303,2.46420400,0,0.00000000
2015-10-15,11.40672136,7.78350839,0,3.15222379,8.63412373,5.51751697,2.86307316,1.38363913,0,0.00000000
2015-10-16,17.09491178,13.14315169,0,10.45217226,10.83208352,4.72361398,2.56703590,2.95563333,0,0.00000000
2015-10-17,41.99201828,20.84524553,0,0.67780391,12.51132381,5.82740951,5.43309011,10.16140000,0,0.00000000
2015-10-18,33.03537368,12.04141024,0,1.38200230,38.40733077,3.17929350,40.78351468,16.09635556,0,0.00000000
2015-10-19,29.28022654,16.63784368,0,0.69036916,2.63803111,3.16927524,8.58327895,8.83399091,0,0.00000000
2015-10-20,36.63450507,32.70425915,0,2.96379036,9.30860000,7.34611389,0.68132385,4.31429231,0,0.00000000
2015-10-21,54.76655573,14.90128669,0,4.35798928,4.65653587,3.83397745,49.42730641,5.76033636,0,0.00000000
2015-10-22,69.38049404,10.30867989,0,11.01084846,6.42477031,4.11476362,7.39295128,43.83630000,0,0.00000000
2015-10-23,74.54232404,10.14351080,0,6.09641999,4.58686038,3.24271964,50.61917851,14.05067037,0,0.00000000
2015-10-24,113.58153445,33.58153658,0,4.73462455,3.09910426,4.42677781,28.40750000,1.00040000,0,0.00000000
2015-10-25,132.94364288,20.50509180,0,3.64732062,11.76246842,1.96656252,14.18763289,0.00000000,0,0.00000000
2015-10-26,129.11267345,7.78598395,0,0.62372002,3.48500227,2.71512975,7.02311250,1.67348947,0,0.00000000
2015-10-27,154.70130636,11.50888222,0,1.19775721,5.13966056,4.45540111,11.64795210,1.00250000,0,0.00000000
2015-10-28,124.36213629,11.05014106,0,3.12873647,6.67782065,3.37839396,5.23531792,57.28726000,0,0.00000000
2015-10-29,1.17416575,13.06256192,0,0.74987185,8.07880968,4.72849338,4.20025728,2.20366522,0,0.00000000
2015-10-30,1.49522983,18.60772857,0,1.32000325,5.93267615,6.16710521,9.71585543,5.68979524,0,0.00000000
2015-10-31,1.99131464,24.16860330,0,1.12952859,13.00196452,5.26433799,0.84879006,2.83290000,0,0.00000000
2015-11-01,3.85558800,17.10979510,0,0.25298777,9.69411690,3.06677393,0.42494813,0.04371579,0,0.00000000
2015-11-02,2.58103470,11.77937640,0,0.36908859,5.35946942,1.01500276,1.34221201,1.10166000,0,0.00000000
2015-11-03,2.87658383,12.19396401,0,1.15211202,4.08514464,21.34066429,1.01476364,0.03986129,0,0.00000000
2015-11-04,1.11074816,5.44506329,0,0.98559399,5.85760634,4.49289362,2.30337500,3.82131389,0,0.00000000
2015-11-05,1.38734693,13.90846500,0,2.82937011,4.61067842,3.61569275,3.09667624,2.20718667,0,0.00000000
2015-11-06,2.32019676,9.58768249,0,2.79114287,3.42885950,4.45763506,13.00496138,1.68862609,0,0.00000000
2015-11-07,2.26133010,8.26160465,0,5.37484765,2.87443529,4.63379795,42.28645714,0.00000000,0,0.00000000
2015-11-08,3.15326486,14.53217923,0,4.37700285,1.14854032,4.22516154,11.25182279,3.40563333,0,0.00000000
2015-11-09,1.17153795,3.06564674,0,0.80668415,1.22490761,3.87886550,18.07222744,1.18777645,0,0.00000000
2015-11-10,3.46487025,12.38319234,0,2.59455116,1.49859583,5.33655183,29.73900282,0.10218024,0,0.00000000
2015-11-11,0.42765735,10.73341902,0,3.75257747,1.52667597,6.60390058,0.03680714,1.95714135,0,0.00000000
2015-11-12,0.60463613,10.66671789,0,2.81524634,1.00617364,7.45440103,0.20196984,0.15407874,0,0.00000000
2015-11-13,1.48531296,11.50460082,0,0.78063892,2.30717300,7.32615737,0.86384685,0.00980706,0,0.00000000
2015-11-14,1.58317952,4.04628016,0,2.03289179,14.90627241,6.98012301,4.65567531,0.05803478,0,0.00000000
2015-11-15,1.23849656,5.43784392,0,2.35308736,1.21131707,3.09623651,0.43408369,0.00480000,0,0.00000000
2015-11-16,0.49388047,9.78361490,0,2.52661501,3.32355000,5.22631406,3.56502439,0.49760674,0,0.00000000
2015-11-17,1.85259779,4.59711469,0,1.63190978,3.44833636,4.45105436,0.50670182,0.04086571,0,0.00000000
2015-11-18,7.07340399,9.41599798,0,0.89277361,2.00541940,4.35637483,0.58474054,0.00459459,0,0.00000000
2015-11-19,15.02170993,5.91939697,0,1.75306608,1.15208889,5.48389559,0.01065106,2.80983261,0,0.00000000
2015-11-20,14.61975018,11.99092621,0,2.33674940,0.00022308,5.40745497,0.02306909,0.81550941,0,0.00000000
2015-11-21,15.34762430,22.66660118,0,1.81631258,1.66507538,4.48414502,0.30752400,0.00471818,0,0.00000000
2015-11-22,16.52891897,12.36882507,0,2.31324911,0.00012143,1.51471767,0.84404494,1.11883750,0,0.00000000
2015-11-23,2.05955345,6.00006060,0,0.43945463,1.31360492,1.29769323,1.92538211,0.10573084,0,0.00000000
2015-11-24,0.35952547,10.76284542,0,0.63050716,2.24467917,3.84261731,0.00633913,0.16371607,0,0.00000000
2015-11-25,0.76229771,9.68200000,0,0.63832358,5.56031071,3.74234902,0.82626441,9.90841176,0,0.00000000
2015-11-26,1.41568467,20.27815520,0,1.08975162,14.51405455,4.34633288,1.55872098,2.85973810,0,0.00000000
2015-11-27,1.38330073,17.60916693,0,2.92651152,9.05828750,1.48638971,0.01254286,0.00428000,0,0.00000000
2015-11-28,1.59655000,9.34656825,0,1.28645978,0.17991707,2.75675463,1.13790504,0.00457917,0,0.00000000
2015-11-29,1.71891456,19.78840120,0,2.80512750,0.00011935,2.99501128,4.77108864,0.00503462,0,0.00000000
2015-11-30,0.31990897,4.96681925,0,2.66907550,0.64060933,2.85000744,2.01268168,0.18699091,0,0.00000000
2015-12-01,0.45894718,3.50422932,0,1.86556112,2.72661889,1.78315342,1.16789454,0.00443333,0,0.00000000
2015-12-02,0.34025396,5.39468860,0,0.53874779,2.06120667,3.46203473,0.00495500,10.74028333,0,0.00000000
2015-12-03,0.43257882,7.09197614,0,1.34176355,1.99170076,3.22945743,0.00512361,0.51789000,0,0.00000000
2015-12-04,0.08085759,7.40891097,0,0.92224286,3.54599223,2.96639218,0.20154455,0.47816667,0,0.00000000
2015-12-05,0.42104299,7.56921385,0,27.64532860,14.20661905,2.21184208,7.73337833,0.00493333,0,0.00000000
2015-12-06,0.64779872,6.18288905,0,26.10492714,24.94801429,2.05063198,0.08577383,0.01112449,0,0.00000000
2015-12-07,0.25651927,4.95066929,0,3.45039950,2.42592933,0.35907563,0.00508056,0.77539412,0,0.00000000
2015-12-08,1.37498724,3.20010625,0,2.67352668,0.76323462,18.95228905,0.88195200,0.03177660,0,0.00000000
2015-12-09,4.00645889,26.22777194,0,2.44856857,0.79394588,0.60231003,1.09980690,2.45051667,0,0.00000000
2015-12-10,4.17893123,15.49949182,0,1.42481524,0.62056959,2.72357705,0.24637379,1.34817143,0,0.00000000
2015-12-11,23.18819900,24.87423949,0,1.55045576,1.40656016,1.76674234,0.00524933,3.93631579,0,0.00000000
2015-12-12,27.57654127,46.57520408,0,0.48028180,7.62348148,2.46246343,0.00496410,5.96858864,0,0.00000000
2015-12-13,0.12983770,79.88687416,0,2.20623733,2.05359306,1.43006661,0.00580000,0.29250818,0,0.00000000
2015-12-14,13.12371687,24.57505037,0,1.66883942,3.42645789,1.33522212,1.48513187,0.70578921,0,0.00000000
2015-12-15,0.29435006,11.23199676,0,2.36996985,1.24551563,2.79536199,0.00521220,4.76929153,0,0.00000000
2015-12-16,1.07611672,53.66418400,0,2.01324784,0.33689209,6.38295056,0.00520820,2.71951327,0,0.00000000
2015-12-17,2.29158683,28.71312733,0,2.67588824,1.13238621,5.07058390,0.03104483,0.94003914,0,0.00000000
2015-12-18,3.45177169,15.06544583,0,8.94392251,7.28536220,6.52661418,0.01440381,0.07868537,0,0.00000000
2015-12-19,2.93912655,21.87142222,0,4.95896161,1.31225430,8.12863199,0.00633111,1.03405882,0,0.00000000
2015-12-20,7.02819165,27.23567536,0,1.85202574,3.12437556,0.92472093,40.25157662,0.82288182,0,0.00000000
2015-12-21,0.16604857,11.20572847,0,2.07579989,6.36438504,3.24186002,0.01295641,2.17531765,0,0.00000000
2015-12-22,2.20774475,10.27371558,0,3.03919224,7.14804812,6.24661422,0.00520101,1.13171875,0,0.00000000
2015-12-23,3.21641312,13.33186071,0,4.01453662,7.63136154,4.14612221,24.93135147,2.56128438,0,0.00000000
2015-12-24,2.53029924,38.42229036,0,2.34100134,8.95809252,4.17850359,16.75462549,0.00590909,0,0.00000000
2015-12-25,0.01117970,32.76407681,0,1.66446405,1.33689255,5.03344229,0.00511818,4.51303333,0,0.00000000
2015-12-26,0.01011590,53.15377395,0,0.62956815,5.68313288,1.92793873,23.33183925,27.33414545,0,0.00000000
2015-12-27,0.00663769,41.81622034,0,1.85760259,1.24339535,1.17616926,12.31265393,10.50280000,0,0.00000000
2015-12-28,0.15313122,37.39585150,0,0.84955169,1.66935760,1.21776323,0.00513049,0.01778000,0,0.00000000
2015-12-29,1.27284527,54.21507321,0,0.82480926,1.11381871,2.25939630,12.24758657,0.90112800,0,0.00000000
2015-12-30,3.92495071,34.23438534,0,1.25172277,7.94325417,2.13368003,0.00411429,5.60323750,0,0.00000000
2015-12-31,15.21695780,26.65564228,0,2.52045674,3.79894852,1.47319210,0.00509091,5.24985000,0,0.00000000
2016-01-01,29.94032093,8.54752329,0,1.99492548,11.53708158,0.27204571,0.00514872,0.16687273,0,0.00000000
2016-01-02,17.05882637,3.92562109,0,1.38227668,2.11478462,0.47866160,0.00530500,0.00475556,0,0.00000000
2016-01-03,0.08963436,11.31216371,0,1.11100956,0.38321724,0.37686746,0.00493019,0.01400333,0,0.00000000
2016-01-04,1.52919225,7.95590811,0,2.06690133,1.12157407,0.68209730,0.23263745,0.04497917,0,0.00000000
2016-01-05,0.64137989,9.22044114,0,4.48663933,2.00717535,1.41936629,0.07831019,0.63785385,0,0.00000000
2016-01-06,0.08157556,10.44118693,0,1.42312998,1.28367374,1.55445774,0.08064314,3.05149615,0,0.00000000
2016-01-07,0.72162388,5.44548489,0,0.27697211,3.11845066,2.01691474,0.04825798,5.07015000,0,0.00000000
2016-01-08,1.56174429,5.59524106,0,1.24367221,3.75214805,2.04128246,0.02922417,5.33294000,0.00390000,0.00000000
2016-01-09,1.86400987,10.16648205,0,0.90586083,5.07608421,0.65334044,0.04260066,0.00060000,0,0.00000000
2016-01-10,1.04937308,3.92336077,0,1.81703589,2.89272439,1.17696350,0.02161729,42.75671818,0,0.00000000
2016-01-11,0.46694534,6.10341832,0,1.53439417,2.54452658,0.41584454,0.01933102,0.78706000,0.01675385,0.00000000
2016-01-12,1.41048659,9.75915238,0,1.12810132,6.12147182,1.17914126,0.01964173,0.00628000,0.02096829,0.00000000
2016-01-13,0.75426287,12.54443083,0,1.35945457,0.77789342,0.84539980,0.00517917,56.40919286,0.01888333,0.00000000
2016-01-14,0.57357106,20.16165152,0,2.84958284,1.61626103,1.42511141,0.00579143,4.10500000,0.02246000,0.00000000
2016-01-15,0.64696430,18.89614565,0,2.50269087,0.60361008,3.03119639,0.00486941,0.72348636,0.02493333,0.00000000
2016-01-16,4.43634186,25.91270833,0,0.98450927,1.16791645,2.48942094,0.04898297,6.27961000,0,0.00000000
2016-01-17,1.02235319,45.18449636,0,1.08951263,3.29154925,2.16678573,0.04830613,0.00421429,0,0.00000000
2016-01-18,0.35946449,38.13775445,0,0.88755513,1.09038194,0.84796445,0.00487500,0.00566970,0,0.00000000
2016-01-19,0.37407713,53.43153801,0,1.16309965,1.09094333,0.90788728,0.00541609,0.25958837,0.01805000,0.00000000
2016-01-20,1.83798960,27.00198889,0,3.94062735,3.19589551,0.66595388,0.00525693,3.59264118,0,0.00000000
2016-01-21,4.50406667,13.11554465,0,1.90616353,1.23149032,1.62272825,0.58078480,2.35811364,0.02055714,0.00000000
2016-01-22,2.19247088,9.83752093,0,2.65878462,0.96382672,3.28495361,0.00609750,0.00428889,0.04143333,0.00000000
2016-01-23,4.16670543,106.66174821,0,1.49563908,1.99253735,1.95859577,0.00491081,0.00000000,0,0.00000000
2016-01-24,3.54799077,39.65225785,0,2.52136186,0.96012133,0.42149113,0.00543333,0.00415455,0,0.00000000
2016-01-25,1.62414293,17.30091134,0,0.75031983,0.16023470,0.49891932,0.00484023,0.00508182,0,0.00000000
2016-01-26,2.24108123,24.15505988,0,1.31549325,2.34538504,1.94420682,0.00655870,0.28158913,0.02055000,0.00000000
2016-01-27,1.77951927,6.08656615,0,1.78431492,2.73135000,2.02123566,0.17513111,0.59718710,0.02694167,0.00000000
2016-01-28,1.62797683,6.06796918,0,2.16402480,1.00103694,1.85695894,7.02168411,2.79764545,0.01445000,0.00000000
2016-01-29,1.23156641,13.06345678,0,3.20690823,2.23257750,1.80472122,0.11836408,0.01943636,0.02146667,0.00000000
2016-01-30,2.23018946,27.52551124,0,5.20977323,0.00012708,0.67113139,0.00533571,0.00518333,0,0.00000000
2016-01-31,0.10720157,27.23163077,0,4.22611135,0.18031786,0.28114338,0.60904104,2.11833953,0,0.00000000
---------
