title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[GATECH KEENELAND] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[GATECH KIDS] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2014-09-04,38.00894528,9.22456750,1.87385224,3.87818702,0.00688889,1.52067096,0,0.22601171,0.34457959,0.54073684,0,0
2014-09-05,45.23165149,4.80338000,9.43039396,11.79205167,0.01105000,1.12628892,0,0.03940698,1.09567695,1.05813750,0,0
2014-09-06,6.73676842,3.77907213,12.92502936,23.91400180,0.00841667,1.17963442,0,0.06233308,7.25447872,0.22956596,0,0
2014-09-07,2.06775500,2.12545119,14.51099379,23.47593671,0.00707500,0.17594169,0,0.01754286,1.69381096,3.11652911,0,0
2014-09-08,2.70990800,4.31912234,0.04986856,13.02923856,0.00970000,0.35727191,0,0.01526861,1.11851744,2.61102184,0,0
2014-09-09,6.84629524,2.67639669,0.03724332,13.52477127,0.01944000,17.77229814,0,0.02671208,0.33329832,0.14365615,0,0
2014-09-10,3.08089067,4.30757925,0.22896346,10.42115424,2.03536667,0.69928797,0,0.15404818,0.25913915,0.00000251,0,0
2014-09-11,14.07229774,2.89094220,0.54709044,12.95403864,0.01360000,1.08882918,0,1.65141818,0.51434687,0.00000353,0,0
2014-09-12,42.05362600,3.66983939,0.40754048,23.14760524,0.00976667,0.73145924,0,1.12179671,0.70313528,0.00000382,0,0
2014-09-13,8.00345500,7.89284894,3.20132757,28.69636680,0.00861667,0.70230347,0,0.18420388,7.43297302,0.00000321,0,0
2014-09-14,1.71750370,2.90365507,0.80170895,19.86394777,0.00757500,0.66605027,0,0.15285440,8.31472759,0.00002778,0,0
2014-09-15,17.65938031,3.51270070,0.02796500,1.61561005,0.00410000,1.26108853,0,0.11317853,1.80929435,0.02166171,0,0
2014-09-16,31.65573589,4.00601345,19.37452034,19.50499121,0.00921667,1.64321837,0,0.14657022,0.54890961,0.03643124,0,0
2014-09-17,29.95019169,6.86592088,2.19829536,9.81129542,0.01007500,3.73079446,0,0.38507704,0.69529421,0.47033333,0,0
2014-09-18,38.59918451,7.07511633,4.46005873,27.58336893,0.01100000,2.62994189,0,1.10610079,1.05514755,0.00000380,0,0
2014-09-19,62.98437397,15.64239581,5.16437084,21.09803929,0.00851111,1.98157831,0,1.25441888,1.09576268,0.00934211,0,0
2014-09-20,78.70280892,10.67345169,9.17963027,23.05425361,0.00694286,1.97042584,0,0.03063417,1.29584720,0.00000759,0,0
2014-09-21,62.51060063,8.78816942,21.47917757,44.35791787,0.00745000,0.99072609,0,0.30391171,4.99889595,0.00003333,0,0
2014-09-22,60.96051124,11.34034133,10.03927956,57.80036176,0.00800000,0.80583068,0,0.18104410,1.08766352,0.00001579,0,0
2014-09-23,19.34345679,5.82258468,10.59147304,10.79058435,0.00730000,1.35500635,0,0.69747890,1.03657476,0.00000000,0,0
2014-09-24,28.84740180,9.39160698,4.78269331,13.63246994,0.01170000,1.81452484,0,3.90527791,3.94172226,0.00000000,0,0
2014-09-25,0.00378525,9.45706186,13.89297817,20.13299305,0.00832500,1.90412990,0,1.36383333,0.91770691,0.22715903,0,0
2014-09-26,10.59192842,9.51614694,24.01725237,23.28745980,0.00645000,2.74378360,0,0.67665493,0.63222944,0.46953158,0,0
2014-09-27,0.96109149,10.36857500,17.96206485,31.25427933,0.01083333,0.45518062,0,2.55803462,1.37126006,0.00002857,0,0
2014-09-28,0.90959375,2.12686855,42.89974843,91.33877018,0.00625000,0.21177876,0,0.56344730,0.88023995,0.77150714,0,0
2014-09-29,0.00050670,4.42772519,13.64048992,43.53500028,0.00994000,0.04459321,0,0.87715327,1.16201010,0.06891717,0,0
2014-09-30,0.00025556,8.69827037,30.83693175,34.29800741,0.00875000,8.23695927,0,0.88525021,0.52336825,0.00499800,0,0
2014-10-01,16.29284647,11.32598298,14.09202464,38.58888930,0.48040000,0.44158476,0,6.90133742,10.46843717,0.09792388,0,0
2014-10-02,0.00225990,19.20797037,92.34373312,25.07735002,0.00750000,3.40480100,0,2.21417787,0.00075758,0.19143732,0,0
2014-10-03,0.00269431,39.92995714,0.16206369,37.65627797,1.39125455,4.76343280,0,1.00807113,0.00121624,3.12241220,0.70487647,0
2014-10-04,0.00132871,42.33325056,1.86816052,32.65287690,5.46129565,2.97186344,0,0.02757157,0.00086000,3.89618983,0,0
2014-10-05,0.00400498,5.80413810,0.10584198,38.54711784,1.80404815,1.87639744,0,0.01724211,0.00126471,3.54851000,0,0
2014-10-06,0.00330751,15.00158554,0.21201965,6.72870910,2.73505833,0.56872627,0,0.07272273,0.15113036,1.56518034,26.32492000,0
2014-10-07,0.00293188,11.45720526,2.09702329,10.70021737,0.45372000,0.60698374,0,0.08183333,0.20515023,2.24895205,0,0
2014-10-08,0.21640888,20.08882105,0.38214256,22.45929991,0,1.48231870,0,0.06682222,1.88165164,3.48769379,0.00220000,0
2014-10-09,2.37739977,14.22517442,0.10222737,13.31303486,0,9.72040699,0,0.02602941,0.09729266,3.98486228,0.00482500,0
2014-10-10,3.14747149,18.89220615,0.25026591,8.85780163,0,1.32803243,0,2.96244364,0.00129094,6.85416250,1.22163750,0
2014-10-11,0.00127500,28.17281961,0.22595455,14.14277084,0,1.73547220,0,5.55720303,0.00065789,7.37978276,0.00000000,0
2014-10-12,1.60386840,33.88916458,0.21741173,8.98652348,0,0.83434855,0,10.32526250,0.00043731,2.80361275,0,0
2014-10-13,0.75091198,6.16619111,0.03550040,4.63081544,0,0.53691040,0,0.34353167,0.00099043,5.99574505,1.65772000,0
2014-10-14,1.23353281,15.52500941,0.43531322,7.03996052,71.42398571,1.16268754,0,0.18003756,0.00468249,5.44734294,0.00555000,0
2014-10-15,1.18999724,11.33579647,1.91725455,13.42435450,0.00771250,1.30825478,0,3.99068750,0.04818534,4.56899511,1.19924167,0
2014-10-16,1.46180484,10.71238919,3.89151836,19.61987932,0.36935349,1.89270439,0,3.58190741,0.04243045,5.30111987,0.02207500,0
2014-10-17,20.12563067,18.81491463,1.01159287,24.03388541,0.00797500,5.43611667,0,3.95582174,0.02652513,4.76625662,0.27646563,0
2014-10-18,36.36455572,38.90248372,7.75212678,21.56320079,2.05788000,2.99518854,0,3.92781667,0.00171387,2.86013034,0,0
2014-10-19,32.96110789,32.43265200,0.33916683,1.04742474,8.12218333,4.53558646,0,6.25864000,0.02403733,20.98575000,0,0
2014-10-20,0.18827065,3.04284211,0.05198176,1.45355718,2.64825000,0.86379879,0,0.15100909,0.51942997,1.34276931,0.00366000,0
2014-10-21,1.57572519,9.48008857,0.29098246,5.66935259,11.24805000,0.75484739,0,0.24383548,0.04532684,14.61955161,0.00448333,0
2014-10-22,15.59916641,16.15002000,2.67439178,8.92688365,0.01030000,12.34033200,0,0.01688261,2.80727554,2.81917651,0.06390000,0
2014-10-23,25.42886095,35.74802800,2.39566870,7.07158455,0.00870000,4.59599198,0,0.08156404,0.27568806,6.71218732,0,0
2014-10-24,51.28645318,23.01630000,2.47242165,4.72774701,0.00480000,2.37774787,0,0.24412308,0.69525417,5.41258667,0,0
2014-10-25,49.38464086,27.56463265,6.06737315,0.98965187,0.00520000,0.94665705,0,0.01708889,0.31054513,4.51489565,0,0
2014-10-26,55.64053711,29.43383553,15.61237532,1.86706785,0.00953333,0.66267007,0,0.06493824,0.33765214,2.80113111,0,0
2014-10-27,53.13915596,54.64471509,0.24624876,3.01716420,0.01235000,0.34047156,0,0.08334752,0.26471359,3.11380424,0,0
2014-10-28,12.42857188,41.86807451,1.55398283,10.14462169,17.35000000,18.60263138,0,0.10539099,3.06795038,1.66119709,0,0
2014-10-29,1.25663749,38.75882000,0.01944533,4.31639250,9.20006667,1.96255341,0,0.01981235,0.17123621,0.15023000,0,0
2014-10-30,16.36769623,20.35455579,0.01618550,3.99419615,0.01230000,5.47256487,0,0.01790000,0.39067273,2.73150476,0,0
2014-10-31,36.33366720,50.59934800,0.07227881,2.85638675,14.51083333,2.68963303,0,0.02007241,0.05732064,6.61175490,0.00484444,0
2014-11-01,25.83108778,143.81546607,0.12084291,8.45441822,0.00000000,0.56165329,0,0.03752727,0.00038108,4.35014242,0.00426667,0
2014-11-02,2.79442306,163.92227143,0.06450938,11.09303477,57.09390000,0.54570132,0,0.19546500,0.01180162,5.84307917,0.00556667,0
2014-11-03,2.95306053,5.55885455,0.00862011,2.65190813,1.28590000,1.96886863,0,0.04701833,1.13382406,4.25237273,0.00596667,0
2014-11-04,10.42159789,7.44970138,0.49117633,2.84331850,11.72575000,3.97223653,0,3.69879455,0.01714382,13.14580400,0.00610000,0
2014-11-05,23.36887161,11.23659467,0.10671974,10.82109641,0.00000000,2.64792573,0,0.14802449,2.59812673,0.00494167,0.82703333,0
2014-11-06,2.17516977,11.73793969,0.01243831,8.15367768,0,5.90174015,0,1.03510000,0.28197887,2.41552500,0.75682857,0
2014-11-07,17.20179468,6.35027471,0.41236953,12.83849147,0.00468333,4.80212889,0,1.38012654,1.00088068,6.81365789,4.82750000,0
2014-11-08,24.19606364,1.54113386,0.65526343,27.17933643,0.00620000,1.06543944,0,11.05097222,12.43943108,8.17290000,0.00610000,0
2014-11-09,5.30378223,8.65195556,0.84037174,28.71770749,0.00990000,0.35730385,0,22.26820625,19.15066344,0.35323571,0.00573333,0
2014-11-10,2.56731038,5.47453754,1.58025977,5.16229645,2.32106000,2.57242208,0,6.15977636,9.08323529,1.91431304,0.00610000,0
2014-11-11,3.01901010,2.87331658,0.19477083,2.10874661,0.00030000,6.33096485,0,8.59674375,3.68554534,6.27756429,0.00250000,0
2014-11-12,3.65396133,6.68736124,0.00673288,2.64270239,0.16410000,7.01860733,0,9.03671333,21.37876886,20.49461875,0.00544118,0
2014-11-13,2.82092776,2.24877906,0.02900155,5.56964114,0.86476047,5.61847514,0,0.50079452,1.24856064,11.67893929,0.00382500,0
2014-11-14,1.68481032,11.52702381,0.01107432,10.72811497,1.57602308,7.25258557,0,0.32029697,3.69303381,3.13522909,0.00453333,0
2014-11-15,0.13967146,33.16534486,0.01029860,15.52595336,7.37422000,9.24550467,0,0.01996667,2.60413659,0.00000000,0.00542500,0
2014-11-16,0.77213858,4.28974466,0.00549484,14.54068146,0.00932000,2.78123710,0,0.64814396,0.28498250,0.02952857,0.00430000,0
2014-11-17,2.94031370,3.80899455,0.01156068,8.82905428,0.00794000,1.43003279,0,1.07322048,1.29705574,0.00000952,0.00555000,0
2014-11-18,23.23775000,18.85906331,0.27304509,1.88918105,0.00741429,3.46712991,0,0.11352563,1.50376122,0.00001579,0.00410000,0
2014-11-19,47.79569412,22.79234933,0.04320871,5.13913080,0.00945833,4.42254009,0,0.05448193,3.54895854,0.00000930,0.00528571,0
2014-11-20,36.25359429,10.26037377,0.28951460,9.58441275,0.00383333,2.69467249,0,0.36401716,1.52020462,0.00000000,0.00517273,0
2014-11-21,69.94726814,40.33461193,0.12456711,17.49889636,0.00930000,2.62178920,0,0.11389804,3.77602169,0.04095287,0.00560000,0
2014-11-22,81.76135988,58.34803065,0.60728373,6.90262118,0.01000000,0.82164776,0,1.66766000,6.49571500,1.51917538,0.00565000,0
2014-11-23,67.19629755,92.40963167,0.03024280,20.47121960,0.01190000,0.58852105,0,8.67146897,13.20870000,0.59347945,0.00532500,0
2014-11-24,32.78040202,31.09725833,0.20866628,28.68149217,0.00435000,0.12807006,0,6.57250000,0.76704464,1.53210171,0.00481429,0
2014-11-25,26.10228503,0.84675676,0.66423842,11.50410945,0.00640000,22.31698922,0,0.58805441,0.97444138,1.28841040,0.00558750,0
2014-11-26,35.31303389,29.83900000,0.11980098,21.20350342,0.01140000,2.27701858,0,1.38585800,0.82166250,1.40965474,0.00569000,0
2014-11-27,59.46641406,17.63291176,0.15516348,6.81768586,0.01610000,2.17998420,0,2.46757419,4.73429180,1.79871711,0.00570000,0
2014-11-28,68.45699208,12.44338627,0.26138528,10.80116327,0.00890000,0.86292577,0,6.55150313,0.24050278,3.13557941,0.00428000,0
2014-11-29,65.27173934,4.44379565,0.60097259,8.17428976,0.01690000,0.93799951,0,1.48170000,3.49008077,0.00000980,0.00478000,0
2014-11-30,15.54210350,45.52178409,0.69702521,4.21632638,0.00827500,0.36521163,0,5.88512784,6.61686515,0.00040000,0.00528571,0
2014-12-01,4.39902953,22.21162642,0.81047088,4.39991869,0.01580000,0.21387581,0,2.10353593,0.83331103,1.54233364,0.00565000,0
2014-12-02,0.48779394,0.90072474,1.25648587,4.81814326,1.91906667,0.42269506,0,3.84723165,0.24207049,4.27021828,0.00481667,0
2014-12-03,36.93676490,2.97440152,6.11122392,18.07824272,0,0.75922351,0,0.43037206,6.50073182,1.06415192,0.00518333,0
2014-12-04,33.86676488,5.18673514,0.35170151,4.98016041,2.05373333,2.99749007,0,0.78841000,4.20287778,0.11792961,0.00496375,0
2014-12-05,64.38590892,5.79563374,30.59495235,9.96289013,3.02805000,11.13399883,0,6.03183448,3.90437405,0.50973720,0.00560667,0
2014-12-06,67.15216754,0.00000000,38.29252516,17.58469583,0.00840000,10.22053708,0,1.36491646,5.30262195,0.88652710,0.00566000,0
2014-12-07,26.15537622,25.31244026,31.97100384,15.92157846,0.00280000,2.89475833,0,3.43963750,1.41372891,2.09259391,0.00507500,0
2014-12-08,11.28150066,20.95603061,8.50850607,4.70628642,24.04430000,2.24957121,0,0.38433264,0.99831584,0.32921211,0.00501429,0
2014-12-09,24.74043886,8.38593405,28.05412086,7.02625840,5.45280000,1.94993422,0,1.41803504,0.12205833,1.38132767,0.00568182,0
2014-12-10,27.40343663,5.30849917,44.62453523,7.02401649,0.82020000,2.36512417,0,0.22183802,5.54617234,3.32654595,0.00571111,0
2014-12-11,30.54409118,7.59463120,104.21759052,9.21527899,0.74723333,3.38183526,0,1.20797356,3.59592959,0.50175743,0.00516667,0
2014-12-12,49.18124440,21.74750175,0.69137450,13.40874768,9.47574444,3.08818266,0,0.26479578,8.15734522,0.01379051,0.00527917,0
2014-12-13,78.05554426,15.30409275,0.36380667,19.55710262,0.01025000,4.81148897,0,0.27098000,2.29051579,0.63837714,0.00546500,0
2014-12-14,101.53144227,7.46376591,0.41915596,5.67102382,0.01110000,0.96972079,0,2.07543059,2.09439065,6.69972857,0.00569286,0
2014-12-15,48.95645776,3.99111890,35.27780608,1.04420682,0.00500000,0.98746206,0,2.61892277,0.79384211,0.63678065,0.00505200,0
2014-12-16,8.73089473,7.67830196,9.03110407,2.76743623,0.01306000,2.42892813,0,0.98900347,1.86639762,0.62655571,0.00530952,0
2014-12-17,15.19665270,3.77236897,0.54453460,2.09713127,0.00535000,4.80887095,0,1.09330348,3.16502128,0.61636028,0.00514231,0
2014-12-18,27.29501009,21.33194875,0.59702633,1.80343292,0.01530000,5.41229285,0,1.27838298,0.00045000,2.50735564,0.00536667,0
2014-12-19,46.04879522,26.41267770,0.94037491,3.44103703,13.52220000,4.55970125,0,0.35069194,10.26156207,2.43722340,0.00530909,0
2014-12-20,60.64884041,20.32834267,0.76311298,1.60440488,0.01610000,4.69707883,0,0.04169531,13.70876667,4.92244576,0.00543125,0
2014-12-21,23.50995840,42.64042759,0.27745689,3.77969781,0.00310000,1.48912239,0,0.39316122,39.61448925,0.00001304,0.00567143,0
2014-12-22,9.58655632,10.17480137,4.10406486,1.82875590,0.00140000,0.61753419,0,3.95276667,24.28270488,2.01469500,0.00546875,0
2014-12-23,3.79533039,2.33539324,3.76987618,2.33476903,0.01165000,0.68149238,0,3.36265556,19.54638261,4.42796522,0.00562500,0
2014-12-24,0.56844803,3.42595690,3.30943026,4.33534480,5.32422857,1.94808237,0,1.16919645,42.10963333,6.06719697,0.00564444,0
2014-12-25,2.63087372,128.72413077,2.62956131,6.24666739,14.26513333,1.23565142,0,3.29897500,55.22981053,17.16018947,0.00560000,0
2014-12-26,2.93114917,34.81751013,1.81886384,2.39721552,22.67812222,6.98184605,0,1.21705676,33.62488125,11.16784667,0.00564444,0
2014-12-27,20.03088970,51.75881304,2.68926944,3.85122480,39.53328000,1.83366124,0,8.13012564,37.69603636,12.83090714,0.00505000,0
2014-12-28,43.71248220,9.70061290,0.14020065,1.69362124,34.43633333,0.97282505,0,8.28862500,3.59953000,8.23413043,0.00558333,0
2014-12-29,49.02365579,19.60510500,0.64673103,2.28153110,58.12210000,1.28751228,0,3.71488545,5.95886154,1.67817654,0.00567778,0
2014-12-30,16.71580319,12.70556452,0.40741441,3.36133059,119.07594000,4.42509459,0,9.94942000,3.90248163,2.58658065,0.00469375,0
2014-12-31,0.00050444,5.61503091,1.92522673,8.32021601,131.32902500,0.49152024,0,15.80972500,21.93131250,3.04685455,0.00562857,0
2015-01-01,0,60.45913481,17.15645414,19.35891765,148.95167500,0.79783175,0,18.24955000,46.84263750,4.18402063,0.00577222,0
2015-01-02,0,82.12554205,30.30588733,24.41265787,71.55897500,0.46012848,0,0.00000000,0.00046667,3.58113810,0.00547000,0
2015-01-03,0,13.92655250,3.23067917,4.40835471,5.55729500,0.32120155,0,0,0.17853333,2.89883256,0.00545455,0
2015-01-04,0,5.27197872,2.61980833,0.52117348,15.15770833,1.31827597,0,0,0.30070000,0.00000000,0.00558696,0
2015-01-05,0,5.48008118,8.58921792,0.68983417,0.01580000,2.76835212,0,0,1.03077647,2.33612778,0.00507778,0
2015-01-06,0,3.27710351,0.35186564,1.25118163,0.01030000,0.65910262,0,0,0.60691875,1.64171884,0.00560000,0
2015-01-07,0,6.95229339,6.07874490,3.16770526,0,0.46198093,0,0,0.05810000,0.98476452,0.00450000,0
2015-01-08,0,0.74984821,0.01379886,10.76237018,6.41145714,1.14494018,0,0,0.61163269,0.62535147,0.00405333,0
2015-01-09,0,9.74386471,0.00359076,19.10719294,0.13117333,0.38659286,0,0,0.00038750,0.00000417,0.00520000,0
2015-01-10,0,0.00061333,0.00325614,31.14251943,0.00992500,0.24858608,0,0,0.00034762,0.00002500,0.00566000,0.00000000
2015-01-11,0,30.45826923,0.10422330,39.69339217,0.00695000,0.25169945,0,0,0.00033333,1.45875714,0.00547000,0.00000000
2015-01-12,0,4.21367949,5.89580151,2.72074450,0.00963333,0.24026946,0,0,0.00058137,0.34558000,0.00481000,0.00000000
2015-01-13,0,6.64847368,8.66771881,1.60660525,0.01310000,17.78223548,0,0,0.00044444,9.88380000,0.00482500,0.00000000
2015-01-14,0,6.91832941,0.01531160,8.06592495,4.07202500,1.96785637,0,0,0.00282931,0.00000690,0.00553333,0.00000000
2015-01-15,0,2.03722080,0.09588861,1.52570906,0.00911333,3.02983757,0,0,0.00924463,0.00000750,0.00518235,0.00000000
2015-01-16,0,0.20475758,0.12253607,2.58416668,0.00286667,3.20677014,0,0,0.15441935,0.38617778,0.00514400,0.00000000
2015-01-17,0,0.89521296,2.09714482,6.63222670,0.01445000,3.03740369,0,0,0.06811803,0.09783600,0.00541786,0.00000000
2015-01-18,0,0.00201852,0.55967383,0.70840108,0.00780000,0.82059194,0,0,0.00073214,0.00000750,0.00448846,0.00000000
2015-01-19,0,0.00106458,0.46111243,1.14795416,0.01000000,0.44189144,0,0,0.08974286,0.00000645,0.00561600,0.00000000
2015-01-20,0,0.11896044,2.99329974,0.70509714,0.01440000,0.55141910,0,0.02030000,0.08272989,0.00000682,0.00471034,0.00000000
2015-01-21,0,1.37714545,5.15896954,0.43976856,3.37690000,0.65467385,0,0.00000000,0.07720189,0.00002500,0.00477500,0.00000000
2015-01-22,0,0.39855690,2.40143581,1.28086888,0.01130000,1.61785141,0,2.56190000,0.05470874,0.00011667,0.00483056,0.00000000
2015-01-23,0,1.17803250,0.94356156,1.57624112,0.00732500,2.68906072,0,2.94405000,0.08500055,1.29523393,0.00435818,0.00000000
2015-01-24,0,3.33155098,1.16080632,2.08223163,0.00720000,3.55845027,0,0,0.00158372,0.00003750,0.06497101,0.00000000
2015-01-25,0,6.08065536,0.84264761,4.75627587,0.00830000,1.98067856,0,0,0.00036071,0.00000211,0.27213362,0.00000000
2015-01-26,0,1.85547090,0.55106214,4.78902900,0.01060000,1.18348538,0,0,0.00837525,0.00000722,0.00463611,0.00000000
2015-01-27,0,7.74923805,2.87615739,1.78598638,0.00420000,2.59320626,0,0.00560000,0.36044737,0.00000250,0.05889910,0.00000000
2015-01-28,0,1.80736408,4.86072758,3.13978629,0,5.11351719,0,0.02920000,0.04758519,1.22860308,0.00460511,0.00000000
2015-01-29,0,2.39733167,6.27385913,1.48459749,0.01075000,4.99077105,0,0.03443333,0.38916883,3.90634038,0.00476563,0.00000000
2015-01-30,0,0.13268419,5.44337139,0.99760945,0.00855000,3.53703897,0,0.00000000,1.05759536,0.00300370,0.00515000,0.00000000
2015-01-31,0,1.07540137,3.42189924,0.31904912,0.01170000,2.27730524,0,0,1.70652069,0.00000000,0.00526341,0.00000000
---------
